index,comments
0,"Definisi apa2 sudah terkonsep ya begini. Jadi ke depannya paham betul apa yang harus dilakukan untuk kesejahteraan rakyat, bukan pribadi. Mudah2an Pak Anies Allah jaga dari orang2 jahat dan Allah bantu untuk mempermudah menjalankan semua yang beliau cita2kan. Aamiin yaa Allah.."
1,"Semoga Allah meridhoi, semua program2 pak Anies, sehat terus bapak Presiden 2024"
2,Ya Allah semoga presidenku selanjutnya adalah pak Anies Baswedan Aamiin Yaa Rabbal Aalamiin 🤲🏻
3,"Insya Allah pilihanku , bukan karena partai tetapi figur dan kriteria yang pantas memimpin Bangsa Indonesia kedepan"
4,Bismilah... PRABOWO RI 1 ✔️ AMIN
5,Bismillah pak Anies presiden RI ❤️
6,Semoga kelak terpilih jadi Presiden ya pak Anies...
7,Terbaik Selalu 👍👍👍👍👍
8,Kami sekeluarga siap mendukung prubahan. Dengan mengucap bismillah kami siap datang paling pertama ke TPS untuk dukung pak anies dan partai nasdem. Semoga Allah meridhoi dan Indonesia bisa lebih baik dan berkeadialan.
9,Mantap
10,Rakyat menginginkan perubahan  penegak hukum  de el el..
11,Liat VIDEO terbaru diposting sm Babeh @haikalhassan_quote ...Negrii...Banteng kerahkan kader2 walikota dan Bupati tempel2 stiker kerumah2 warga..mengahalalkan segala cara mereka lakukan
12,Ingin Pak @aniesbaswedan Jadi Presiden ❤️
13,Benar sekali bapak.. kami butuh perubahan 😢😢
14,Selalu dukung pak Anis siapapun calonya.. ga masalah bagi gue...
15,Sehat selalu pak Anies Baswedan
16,Bismillah yuuuk bisaaa ❤️❤️❤️
17,Visi Misi Mulia ' Semoga di mudahkan jalankan Pak Anies
18,Bismillah Pak Anies Baswedan RI 2024 Aamiin.........
19,Anies gatot
20,Perubah yang saya inginkan bagus bapak Anis gausah ngecapres itu perubahan yang saya inginkan.
21,"Capres sudah pasti saya dukung tapi wapresnya...😂duh maaf 🙌🙌🙌🙌saya ngga kenal,..dan dari hati nurani saya bilang bukan orang baik jd maaf saya tarik suara saya..saya bukan simpatisan demokrat ato kader tp saya mewakili jutaan  pemilih Pak anies yg kurang respek sama .capresnya.sekian"
22,"😂😂😂 hidup murah ? Teringat ada spanduk “ dimodalin punya business, disediakan tempat usaha, dicarikan pembeli “ coblos nomor 3 💩💩💩 ngomong sih enak, sdh terpilih lupa semua, masih mau percaya ?"
23,Sayangnya koq sama Pak Muhaimin...... I think is not suitable
24,InsyaAllah kami sgt butuh perubahan tingkat kehidupan yg lbh layak.  Bukan hanya mengandalkan Bansos dan Blt dan semacamnya sisa dari yg dikorupsi @aniespresidenindonesia
25,"Waktu mepimpin jakarta banyak sekali perubahannya,lihatlah"
26,Tetap  anis dong RI 1.
27,ayoo pak biar cepet jadi presiden
28,Sore-sore kejepit pintu @pisangkokmatang
29,Perubahan penegak hukum adil seadil-adilnya
30,Di jakarta jadi serba sulit Kan luh gubernurnya 😂
31,@sandiuno kurang lebih ini pak yang di maksud pak anis dalam gagasan koalisi perubahan jadi jangan salah mengartikan dalam perubahan yang bapak pikir selama ini ya pak 🙏
32,Kenapa tidak perbaikan..kalau perubahan..semua akan di rubah mulai dari nol lgi..
33,Lebih baik perbaikan daripada perubahan 🙌
34,"Aklak loe aja Nies yg perlu perubahan, NKRI gak perlu..!!!"
35,"Mau keruk sungai/kali di Jakarta saja, rakyat Jakarta harus lakukan proses hukum ke pengadilan, dan akhirnya dipaksa pengadilan baru dikerjakan...yang model begini masih dipercaya....🤭"
36,"Angin Surga yg selalu dihembuskan, gak usah jauh2... Selama 5 tahun Anis Gubernur DKI itu saja, apa ada perubahan...??? Indonesia terlalu luas utk dibuat perubahan"
37,Dp rumah 0% pak lanjutkan 😅😅
38,TERBAIK 🥰🥰🥰🇮🇩🇮🇩
39,Bismillah Indonesia bersama bung Anies Baswedan
40,"Wk...wk.... rubah nama jalan , rumah sakit jadi rumah sehat, naturalisasi , rumah lapis, dll . Cuman itu yg bisa dilakukan anies selama lima thn di dki 😂😂😂"
41,"Semuanya akan tergantung dari siapa pemimpinnya, jk pemimpinnya bermental preman dan menadah. Mungkin banyak pengikutnya juga yg demikian. Tp jk pemimpinnya bermental pejuang pasti banyak pengikutnya yg bermental pejuang"
42,"Perubahan untuk solusi berkehidupan rakyat Indonesia yang lebih baik, perubahan tata kelola negara dan sistem yang lebih baik, perubahan untuk memperbaiki dan lebih meningkatkan, sebuah perubahan untuk segera mencapai cita2 para Pahlawan Kemerdekaan dan isi UUD 1945."
43,@baas_alwi @andsaputraaa
