index,comments,label
0,Alhamdulillah kawal trs Ganjar Mahfud,1
1,Siap menangkan idola rakyat🤟 Ganjar Mahfud,1
2,ALL IN JOKO - PRABOWO 2024 DUNIA AKHIRAT🔥🔥🔥,0
3,All in prabowo.  Untuk 🇮🇩 maju,1
4,AMIN Anies dan Muhaimin,1
5,"Capres Ganjar Pranowo dan Cawapres Mahfud MD, gaspoll🔥🔥",1
6,Kmi anak muda dukung Ganjar Mahfud❤️,1
7,INDONESIA MAJU BERSAMA PRABOWO GIBRAN 2024,1
8,"Serem nih PS - Gibran, mainnya pake alat negara, jadinya gak fair wkkwkww",0
9,Prabowo menang🔥👏,1
10,GANJAR-MAHFUD IS THE BEST,1
11,Pak Ganjar yang ada dihati,1
12,PRABOWO GIBRAN SELALU DI HATI ❤️ MENUJU INDONEIA MAJU 🔥,1
13,Pak Ganjar tetap yang terbaik 👍,1
14,"Selalu Pak Ganjar di Hati, selelalu siap mendukung Pak Ganjar dengan kemasyarakatannya hehehe, Semangat Terus Pak Ganjar dan Sukses selalu Pak",1
15,"Intinya pilihan sekarang hanya tinggal dua, Ganjar atau Anies. Prabowo skip karena pro terhadap pengangkangan MK. baru maju aja udah mengangkangi hukum, gimana kalo jadi nanti?",0
16,All in Ganjar Mahud pasangan unggul dan tegas,1
17,Mantap all in Ganjar 🔥🔥,1
18,Go pak Anies dan pak cakmin gooo!!!🙌👏,1
19,Ganjar Mahfud for Indonesia 🇮🇩,1
20,percaya Ganjar Mahfud pasti bisa,1
21,"Dengan mendukung Ganjar-Mahfud, kita berinvestasi dalam pembangunan yang berkelanjutan.",1
22,"ayo ganjar mahfud, ditunggu gebrakannya buat para pelaku mempermainkan lembaga negara!",1
23,ganjar mahfud pasti bisa jd presiden kita aamiin,1
24,Kerja sat set yoo Ganjar Mahfud,1
25,satukan dukungan hanya untuk Ganjar Mahfud🔥,1
26,Suara kita adalah langkah awal untuk membangun masa depan yang lebih baik bersama Ganjar-Mahfud,1
27,Pak Ganjar pilihan kita semua 👏,1
28,"Bismillahirrahmanirrahim, anies for presiden",1
29,"udah Pasti Pak ganjar dong hehehe. kami akan selalu solid mendukung pak ganjar, Maju terus Pak Ganjar Dan Semangat Selalu Pak",1
30,Saya dari Jambi pantau terus pak Ganjar sampai menang,1
31,yg fair fair aja deh. harapan tinggall di ganjar sama anis nih kalo gini. tapi kalo soal elektabilitas mungkin ganjar,0
32,Anies❌ ganjar ❌ prabowo ✅,0
33,"Udah disahkan, tinggal coblos yg disukai deh ...",1
34,Aku bakalan dukung terus pak Ganjar,1
35,Apa aja asal jangan banteng 🐂🙌,0
36,Mari kita bersatu dalam suara untuk terus mendukung Ganjar-Mahfud sebagai pemimpin yang berkomitmen.,1
37,"Mantap, ayo bersaing secara fair dan adil. Bertarung dengan visi-misi yang bisa memajukan bangsa dan mensejahterakan rakyat. Maju terus pak ganjar-pak mahfud.",1
38,2024 AMIN Presiden & Wakil Presiden ---->,1
39,Prabowo-Gibran for Indonesia 🇮🇩,1
40,"untung aja ganjar mahfud nyalon, klo gk dah gk ada harapan buat demokrasi kita membaik ya kan",0
41,bersatu dukung selalu Ganjar Mahfud paling merakyat,1
42,Semoga pak Ganjar yang bakal menang,1
43,Alhamdulila semua calon sudah di tetap selamat menjemput kemenangan pak prabowo dan mas gibran tetaplah berkampanye positif tanpa menjelekan dan menjatuhkan calon lain dan banyaklah bicara program insyaalah saya pemilih pak jokowi 2 periode tahun depan pilih pak prabowo dan gibran.,1
44,Enaknya jadi anak presiden .. Umur 30 an udah bisa jadi CAWAPRES .. apalah kita ini yang remahan rempeyek .. umur segini masih begini begini aja 🤭🤪,0
45,All in Ganjar Mahfud 🇮🇩 gak mau yang lain,0
46,"Ribuan akun baru bertebaran, dana buzzer baru saja cair",0
47,"kalo saya dukung Ganjar-Mahfud bukan karena partainya, tapi lebih ke kualitas mereka",1
48,"ALL IN PRABOWO, 2024 ANTI BANTENG, APALAGI ANIEZ",1
49,"Semoga sampai dipemilu tahun depan suasannya bisa terus damai, aman, dan nyaman. Jangan terpecah belah hanya karena berbeda pilihan. Kalau saya dukung paslon ganjar-mahfud semoga menang yah pak.",1
50,"wah mantaap, kuatkan dukungan utk pak ganjar-mahfud",1
51,"siaap menangkan ganjar-mahfud, gasppoll",1
52,Yg waras pilihannya ganjar atau anis,1
53,Tetap semangat selalu berikan dukungan untuk Pak Ganjar dan Pak Mahfud,1
54,"Bersatu demi kesejahteraan, mari dukung Ganjar-Mahfud dengan penuh keyakinan",1
55,Gaspol menangkan Ganjar Mahfud🔥,1
56,Siap menangkan Ganjar Mahfud🔥,1
57,Ganjar mahfud tetap pilihan terbaik,1
58,Siap menangkan pak Ganjaf Mahfud 🤟,1
59,Dukung terus pokoknya buat ngedukung programnya pak Ganjar,1
60,mari kita satukan suara utk terus mendukung Ganjar-Mahfud,1
61,Akhirnya siap dukung penuh Ganjar Mahfud🔥,1
62,Semoga Ganjar Mahfud menang aamiin,1
63,Ganjar Mahfud menang gass🔥🔥,1
64,Siap dukung Ganjar Mahfud💪🏼,1
65,Siap menangkan ganjar mahfud🔥,1
66,BERJUANG TERUSSS SEMOGA LANCAR GANJAR MAHFUD🔥🔥,1
67,Ganjar Mahfud selalu dihati❤️,1
68,Semoga yang terbaik yang menang ... Gue  Ganjar mahfud aja ❤️❤️❤️,1
69,"Nice, SEMOGA ADA DEBAT CAWAPRES 🔥 ga sabar pengen liat",1
70,all in prabowo,1
71,PRABOWO,1
72,dua pasangan lengkap memenuhi persyaratan. kalau satu nya lagi (prabowo) butuh bantuan paman untuk memenuhi persyaratan,1
73,Udah paling bener ya pilih Ganjar Mahfud aja,1
74,"Woww resmi dong,lancar2 pak Ganjar dan pak Mahfud",1
