,comments,label
0,Pak ganjar👏👏👏🙌🙌🙌,1
1,Ga Mud = Ganjar Mahfud,1
2,The nextttt presidennnnnnn Ganjar - mahfud (Gafud) 😍😍😍😍,1
3,Tombol ANIES Presiden 2024 👉,1
4,The Next Our President 👏👏,1
5,The next RI1,1
6,Bismillah Yang Lebih Baik Untuk INDONESIA Aamiin.....Ya Allah 🤲,1
7,The best Pokoknya,1
8,Presiden kamu berikutnya🥰😍🥰,1
9,Team bayaran gak disebut pak?😂😂😂,0
10,Menang 1 putaran. Aamiin 🤲🤲🤲,1
11,"PERSATUAN PENJUAL SATE MADURA SE INDONESIA PRO PRESIDEN GANJAR PRANOWO DAN WAPRES MAHFUD MD, MERDEKA",1
12,Baju kok hitam sih pak...warna hitam itu warna negatif...😢...pak mahfud baju putih hrs pak ganjar baju warna merah ...merah putih...😑,0
13,Bismillah.. Ganjar-Mahfud menang satu putaran🤲❤️,1
14,Kalau pidato selalu keren deh bapak Ganjar 👍,1
15,Bismillah Ganjar Mahfud memulai dengan baik hasilnya pasti baik,1
16,"PERSATUAN PENJUAL SATE MADURA SE INDONESIA PRO PRESIDEN GANJAR PRANOWO DAN WAPRES MAHFUD MD, MERDEKA",1
17,"Mantap,, asli orang Indonesia bukan keturunan Arab dan Cina..!!",1
18,Amin semoga ya pak menjadi awal yg baik dan lancar,1
19,Bismillah.. Ganjar menang ..presiden 2024,1
20,"Alhamdulillah Ganjar Mahfud sudah mendaftar, smua pendukung antusia sekali",1
21,Tdk penting ji tetap Anies presiden 2024,0
22,"Visi misi program jelas: digitalisasi, libatkan peran generasi muda, reformasi hukum bersama pakar prof mahfud yg teruji, ekonomi hijau-biru, anti korupsi yg sdh dibuktikan ganjar di pemda jateng, mendata lbh baik fakir miskin diseluruh pelosok...jelas lugas realistis...paslon lain masih ngambang 🤷🏻",1
23,😂,1
24,Amin,1
25,SOOOLLIIIIDDDD!!!,1
26,🇮🇩,1
27,😢😢😢😢👏👏👏,1
28,🔥🔥🔥❤️❤️❤️,1
29,K,1
30,❤️,1
31,The Next President 🙏🙏🙏🙏Amin,1
32,Gama,1
33,Inshaa Allah ..The Indonesian Gold Young Generation Smart President @aniesbaswedan  Religius dan Nasionalist ❤️,1
34,Insya Alloh RI 1 2024 Pasangan Ganjar Mahfud,1
35,Prabowo presiden,1
36,❤️❤️❤️❤️,1
37,Semoga Pak Ganjar next presiden.,1
38,Ganjar terbaik..,1
39,GOFUD INSYAALLAH RI 1,1
40,Bismillah Ganjar Mahfud memenang kan pilpres,1
41,Mantap ganjar mahfud bersatu buat maju,1
42,"Semangat pak ganjar, semoga selalu amanah ya pak jika terpilih nanti. ☺☺",1
43,"Wah rame banget ya ☺☺, banyak yg cinta sama pak ganjar",1
44,Semangat pak Ganjar Mahfud semoga menang,1
45,"Sehat selalu pak.., semoga dukungan yg datang semakin banyak..",1
46,Maju terus bapak Ganjar Pranowo -Mahfud Md,1
47,Pasangan paling ideal menurutku karena mereka mempunyai rekam jejak yang sangat bagus.. saya sangat bertaruh harapan pada mereka,1
48,Sehat selalu nggih bapak.. perjuangan kalian baru akan di mulai,1
49,Bismillah menang pilpres 2024 Ganjar Mahfud,1
50,Semoga bisa jadi pemimpin rakyat,1
51,"Alhamdulillah sudah resmi, semoga menang pak ganjar mahfud",1
52,Sah mendaftar di KPU semoga lancar sampe pilpres semoga menang,1
53,Memang pantas mereka berdua 😍,1
54,pasangan paling cocok memenangkan pesta demokrasi 2024,1
55,Keren sekali sehat selalu pemimpin rakyat,1
56,Bersatu untuk negeri Indonesia 😍,1
57,penerus pak jokowiii👏,1
58,Semoga 2024 pak Ganjar Pranowo,1
59,Akhirnya mereka bersatu untuk negeri 😍,1
60,Sangat keren panutan banget pak Ganjar ini,1
61,Mantap GP tetap dihatiikuu🙌🙌🔥,1
62,Ganjar Mahfud pasangan yang paling pas untuk memimpin,1
63,the next our president ni boss👏,1
64,Mantapp pak ganjar,1
65,Keren banget panutankuu🔥🔥,1
66,Ganjar Mahfud sangat cocok dipasangankan,1
67,Ganjar Mahfud didukung oleh semua kalangan,1
68,"Bismillah, bersama Ganjar Mahfud, indonesia makin sejahtera🔥",1
69,Awal yang baik untuk mendapatkan hasil yang baik. Semangat pak,1
70,"Sejarah sdh membuktikan presiden RI yg langgeng nama belakangnya O :Soekarno, Soeharto, Yudoyono, widodo, pranowo or Prabowo",1
71,Luar biasa animo masyarakat dlm menyambut Ganjar Mahfud dan mengantarkan ke KPU,1
72,Selamat dan sukses pak,1
73,PAK ganjar luar biasa0,1
74,Tetap menjadi pilihanku semangat terus yaa Pak Ganjar,1
75,"Idolaku emng keren bet, gada obat 😍😍",1
76,Masya Allah senang banget ya lihat mereka jadi pasangannya pas banget,1
77,Tetap Anies❤️❤️,1
78,semoga ini adalah pilihan yang benar❤️❤️❤️,1
79,bisa yuk jadi presiden❤️❤️,1
80,Pak Ganjar Mahfud pasti menang untuk Indonesia jaya,1
81,Bissmillah ganjar Mahfud,1
82,🤟🔥,1
83,Apakah konsep RAJAPATI atau orang kasar sebut palusabit dapat diterapkan di koalisi partai ini,0
84,aku harus mulai berhati-hati menulis di media sosial karena aku khawatir rumus rumus kehidupan dipakai lawan yang salah raja,0
85,"Bicara nya singkat padat dan jelas, gk lebay kayak Anis",0
86,Gw lebih fokus ke Palestine,0
87,AMIN 🤲,1
88,❤️❤️❤️❤️,1
89,Kalau bapak bukan dari partai  PDI saya pilih pak,0
