,comments,label
0,Kl sainganny pak prabowo dan pak eric y sudah pk prbowo bkal melenggang,0
1,Gas❤,1
2,"Prestasi nggak ada, suka nonton film porno pulak.. gini calonmu",0
3,"Pak Anies Baswedan Presiden RI 2024😍 Kecerdasan, Cinta Rakyat udh pasti no. 1❤️",1
4,"Siapapun wapresnya, Insya Allah saya akan meyakinkan banyak orang untuk memenangkan Pak Ganjar sbg Presiden RI 2024 💪",1
5,"Pasrah 😂 kebayang dia jadi presiden, yg ngatur negara siapa kira2 😂",0
6,"Saya pndukung prabowo, Waduh klo sama pa sandi pa ganjar auto win sih ini. Dapat 2 kubu. Lalu pa sandi terkenal gencar kampanye nya. Dulu aja pas sama prabowo pa sandi dpt rekor 100 tempat dalam 100 hari kampanye. Beratt",0
7,MANTAPP TETAP PAK ANIES TERBAIK HARAPAN MASA DEPAN,1
8,Petugas partai mah udah  nurut aja ama mak nya.....😂,0
9,"Saya lebih setuju kalau calon wakilnya presiden pak Mahfud MD daripada sandi,, wong rekam jejak keliatan kelas jauh berbeda..",0
10,Namanya petugas partai mah nurut aja 😂,0
11,SAYA DUKUNG GANJAR PRESIDEN RI TAHUN 2054...😂,1
12,Sama Donald Trump aja pak🌚,0
13,Mahfud MD yg pas,1
14,saatnya pak prabowo maju,1
15,Kok pasrah 😅,0
16,Kl sdh d tentukan bwt apa Pemilu dan apa arti Kedaulatan Rakyat!??smp Kiamat ttp Masyarakat yg dpt Kekonyolan Nya 🔥😂,0
17,Ganjar Mahfud 😍,1
18,Terserah bu mega saya cuma petugas partai,0
19,Prabowo Subianto presiden,1
20,Pasangno sopo wae nyuwunsewu...... Kulo smpun mantep milih Anis Baswedan presiden RI,0
21,Asal bukan ganjar,0
22,Saya pendukung berat pak Ganjar tapi mohon maaf saya tidak akan memilih PETUGAS PARATAI,0
23,Sandiaga uno buat modalin kampanye..😂😂,0
24,Ya nmnya petugas partai ya😂😂,0
25,"Capres itu di tentukan oleh Partai Pengusung, wajar saja ganjar ngomong gitu,
Namanya juga koalisi,
Jadi harusbdi bicarakan dengan Partai koalisi,
Wajar itu, karwna swmuabpartai akan mwngusulkan calon,",1
26,Klau Indonesia pengen tambah hancur amburadul pilih Ganjar Pranowo.,0
27,Prabowo mafud,1
28,"Apa2 gmna partai,, ya namanya jg .... 😂",0
29,"Wartawan buang-buang waktu banget tanya ke Pak Ganjar, tanya ke Megawati lah 😂",0
30,"Presiden, sebagai pemimpin tertinggi hanya boleh tunduk pada kepentingan rakyatnya.. Bukan kepentingan partai semata!",0
31,"Kalo mau indonesia hancur, pilih dia sebagai presiden",0
32,"Jangan sampai Anis yg menang, Ganjar, Prabowo ok Indonesia Jaya, Anis Indonesia gila",0
33,Fix dengan ini mari kita doakan agar Anies Baswedan menjadi Capres Abadi Indonesia 🙌 Aamiin,1
34,Ngurus provinsinya aja nggak becus malah nyalon jadi presiden. Astaga 😂,0
35,Bismillah pak Anies Rasid Baswedan pemimpin Rl 1 🥰,1
36,Pasangannya ahok👏,1
37,JANGANN PAK UNO  DONG ...MASA PAK UNO ...YG LAINNYA apa Gak Ada....Misal Pak Erick Gitu ...😁,0
38,"Pak Ganjar lebih baik ketua RT saja daaah, ngga cocok jadi pemimpin negri ini",0
39,KACUNG bisa apa sih selain nurut sama tuannya? 😂😂,0
40,"Pokoknya jgn pilih Anies .. Anies ngomong pinter, kerja nol kaga bisa kerja",0
41,"Siapa yg mau milih dia? Bu mega.... gk ada kader lain kah selain ini? Sya agak paham nih knpa ganjar di calonkan krna mau mengulangi kesuksesan pak jokowi bgtu? Duuh gk ada pak jokowi ke-2 bu mega.. gk kan ada! Mending pak PS aja udah jelas krja nya drpd org yg tukang joging, tukang bikin konten, menormalkan nonton video dewsa, dan nol prestasi..",0
42,"Anies juga gitu, kacung US 😂 hilirisasi sampe IKN aja mo disetop, mending kacung partai drpd kacung US 😂",0
43,Prei banteng bantengan lurrr,0
44,Asal jangan YOHANIES BIN KADAL😂😂😂,0
45,Siapapun calon WAPRESNYA sy dan keluarga sudah pasti pilih BP. @prabowo,1
46,"👏👏👏 @geisz_chalifah 😂😂😂Sandy banyak kasus hukum nya ,semakin Anies Menang Telak !! 🔥🔥🔥🔥",0
47,Sudah Saat nya @prabowo - @mohmahfudmd 2024 🔥🔥🔥,1
48,saya suka bnget😍. @ganjar_pranowo  duet sama pak @sandiuno . kombinasi paket luar biasa. 🙌👏 semoga benar terwujud.,1
49,Sy si lbih pilih yg lain,0
50,"Sama Aldi Taher aja pak, sama2 lawak",0
51,Sudah di tentukan.. yo iya lah gimana partai 😂,0
52,Engga lagi deh... Cukup 10 tahun ya om @febri.ardianto88,0
53,"Perugas Partai bukan calon Presiden,,,",0
54,Aku gak jadi milih Pak ganjar kalau wakilnya sandiaga uno,0
55,Sule Steven aja mumpung lagi nyantai ..,0
56,"Siapapun pasanganya, teman saya pasti bangga @evryliana",1
57,"Jangan mau bang Sandi, Bang @sandiuno KERJA EHHH SI @ganjar_pranowo TAU2NYA NONTON BOKHEP😂😂😂😂😂😂",0
58,"Moms sharing dong ada yang lagi progam diet dan ngilangin perut buncit? Caranya gimana sh, kok aku diet gak langsing"", kadang suka insecure kalo lagi ngumpul sama temen""😢😢",1
59,Cocoknya dipasangkan dgn Arinal gubernur lampung.,1
60,Sama Ahok pasti jos,1
61,Selalu ngomongnya terserah partai 😂,0
62,Pasrahhhhhh,0
63,Ganjar -aldi Taher ..win 1 putaran,1
64,Mahfud MD lah,1
65,Tolong dong barangkali ada yang punya solusi buat saya bb saya udah 80kg dan sudah meleber info produk pelangsing yang bagus dong😥,1
66,"Tolong dong barangkali ada yg punya solusi buat saya ,bb ku udah 79kg dan sudah melebar info produk pelangsing yg bagus dong🥲",1
67,Katanya mau dipasangkan Erick Tohir 👀,1
68,Aniss 🔥🔥,1
69,"Calon lain selain pak Ganjar (berat kasus 8 T menara BTS salah satunya suami Puan Maharani yg bos perusahaan 99% sahamnya - ini terkait PDIP nya), pak Prabowo (berat kasus Cendana yg 7 turunan tidak akan kelar-kelar,  apalagi kalau ditambah pak Prabowo berkuasa), dan pak Anies (berat ini misal dr pilkada DKI Jakarta yg pakai ayat mayat, omdo doang, dan lain-lain)... ADA TIDAK?  Prihatin daah kami @narasinewsroom @najwashihab",0
71,Selama itu petugas partai akan manut sama ketua 😢 dan yg presiden bukan dia tapi nyonya ketua,0
72,Gak cocok,0
73,"Ogah milih lu , petugas partai , trus ngegagalan bola piala dunia U20 kmren .",0
74,Sama panji gumilar,1
75,"Puan ajalah sekalian, dih repot amat😂",0
76,Saya sih menyarankan ganjar sama cak imin.,1
77,Koq Pasrah ?? . Calon Presidennya kan situ ? . Belum2 koq  sdh kayak petugas partai asli boss Ganjar ?  Nurut bongkoqan 😂😂😂,0
78,Dibelakang tetep ada oma,0
79,"Pilih Redbull = pilih Agem lagi. Kader hanya manekin petugas partai, semuanya apa kata agem😂",0
80,Ganjar - abu janda pasti Joss,0
81,Benar sekali kau😂,1
82,Alhamdulillah.... Aamiin...,1
83,Meramal type Bu Mega semakin tua semakin sombong ! Sepertinya ga akan pilih Sandiaga Uno ! Sandi orang kuat segalanya !! yakin Bu Mega Percaya diri dgn Ganjar menang maka justru akan pilih wapres yang lemah dari NU lagi ..agar nanti nya tidak bisa bersaing dgn Ganjar .,0
84,"Galaa tetap pegawai partai ,ayahab",0
85,Sama sandiaga no dulu . Tetap prabowo . Kecuali ganjar ahok baru yess,0
86,Usul... Cawapres nya Harry Tanoesoedibjo saja,0
87,Sendiko dawuh ...,1
88,nitip sendal,0
89,2024 ANIES RI 1🔥,0 
90,Sama Fadli Zon aja,0
91,Si genjer cocoknya sama kakek Sugiono udah paling pas gagasan tebar link kedamaian,1
92,Kenapa bisa si pdip milih dia 😂,0
93,"JATENG Bukan cuma Semarang sama Solo woy... Malu gw liat Gubernut macam lu, kabur duluan belom beres... Demak kampun ibu gw masih bajir noh, belom lagi jalan rusak, kemiskinan tinggi di Jateng 😂😂😂 Ngga malu Om ???",0
94,Gak mungkin... gak mungkin...,0
95,yg pnting pasangannya hrs buanyak uangggg,1
96,Coba sama pak bambang pasti cocok..,1
97,"Galaa tetap pegawai partai ,ayahab",0
98,sama aldi taher si pak sekedar saran,0
99,Zaya berharap menang zika duet  dengan puan paszti zaya pilih,1
100,Petugas....,0
101,Jangan lah,0
102,Kalo jadi sama pak @sandiuno bisa langsung menang nih tampa berputar putar .....,1
103,Ganjar - Ulama/Kyai/Habaib 😍😍,1
104,Siap sy tetep pilih pak anis,1
105,gak masalah.. asal konsep ekonomi newmind di jalankan..,1
106,In syaa Allah siapapun calon dari mereka pilihannya tetap Anies #AniesForPresiden,1
107,Saya ppp dr kecil walaupun  saya jg kagum sama pak sandi tp kalo masuk ke merah auto angkat tangan...😂,1
108,Knp pasrah? Apa krn petugas partai?,0
109,#aniesforpresidenri2024 Allah SWT Menolong kita 🤲🤲,1
110,Siapapun Presidennya no coblos Banteng Merah Sak Lawase!!!🔥🔥🔥,1
111,Oke oce nih? 😂,0
112,Maaf .. sudah di tentukan..saya mah tinggal ikut arahan aja yah kan 😂😂😂😂😂😂,0
113,Ngk suka Calon presiden partai... saya hanya pilih capres Indonesia aja😍,0
114,😂😂sudah kuduga ferguso 😂😂,0
115,Sedikit bicara kebanyakan nonton film porno,0
116,Harusnya ini sih @basukibtp,0
