,comments
0,Over confident nih bocah
1,"Ntar mengkhianati rakyat, gak apa2 juga ye 😢"
2,Gx papa ini yg lu buat jdiin contoh ke anak muda masseh??
3,Maaf mas sya gk dukung.
4,Tengil yah😂
5,Partai aja dikhianati apalagi rakyat 😢
6,Keluar dari PDI-P tanpa pamit? Gimana sama rakyat nanti😂
7,Pasangan via paman nih senggol dong 😂
8,"TADINYA MAU ALL IN PRABOWO, TAPI GARA2 NARIK NI BOCAH, GA JADI DEH"
9,Mereka diperbudak jabatan
10,"Kalo pendapat saya sebenarnya jangankan mau maju jadi cawapres, langsung maju jadi ketua PBB juga ga masalah. Cuma jangan merubah konstitusi demi sampeyan aja tho mas-mas… 🥱"
11,Contoh BELAJAR MEMIMPIN BANGSA dg CARA BERKHIANAT...🤭🤭
12,Partainya aja di khianatin apalagi... ah... sudahlah😂
13,Ga malu apa ya
14,"Ga tahu malu, begini kalo cawapres jalur paman 🤭"
15,Sebenernya bpk ganjar orangnya merakyat jadi alangkah baiknya bpk ganjar jadi rakyat aja
16,Saya tetap dukung Prabowo presiden🔥bersama gibran 2024🔥🔥🔥yakin membawa indonesia maju❤️🤍
17,Anakmuda yang SDH mencontohkan sikap yang buruk.....berkhianat pada partai yang SDH membersarkannya demi ambisi berkuasa
18,YA ALLAH jadikanlah Pak Mahmud MD jadi wakil presiden RI 🔥❤️
19,"Giliran masih di partai PDIP dikata2in, keluar dari partai juga dikata2in dasar mulut netizen."
20,Jadi cawapres dgn jalur melegalkan diri lewat MK krn ada om di sana 🤣
21,"Harusnya selesaikan dulu dengan pdip.
Kalo caranya sudah tidak benar dengan mahkamah keluarga.
Wong nandur bakal ngunduh.
Bismillah ganjar mahfud 1 putaran."
22,Gas pol Ganjar mahfud
23,Jgn mau percaya sama pdip mereka main dua kaki kita rakyat dikibulin padahal itu semua sdh direncanakan
24,"Kepada yang terhormat
Pendukung Prabowo
""SPIL DONG PRESTASI BELIAU APA SAJA""
Jangan cuma (ALL IN, ALL IN) kami bosan bacanya, serius seperti orang yang tak punya arah tujuan... 😂😂😂"
25,"PDIP nolak permintaan 3 periode ayahnya, tp diteruskan sm anaknya. emg bener mau perpanjangan kekuasaan jalur baru, jalur dinasti"
26,"GANJAR - MAHFUD MD.
PILIHAN TEPAT UTK NKRI
🇮🇩🇮🇩🇮🇩
PDIP TETAP DI HATI🤟❤️🤟"
27,"Dari ""penjual martabak"" menjadi wali kota. Baru 2 tahun sekarang menjadi cawapres. Semudah dan secepat itukah untuk mengurus negara. Sementara yang lainnya harus berjuang dan berkorban hingga bertahun-tahun untuk mengabdi pada negara. AKAL SEHAT TELAH MATI. DIKALAHKAN OLEH NAFSU DAN AMBISI."
28,"Setiap hari pak lurah bicara etika, tapi ternyata bibir tak bertulang"
29,Berkhianat pada PDIP. Berkhianat pada konstitusi berkhianat pada rakyat😂
30,"Sebenernya ga masalah kalo Gibran jadi cawapres, cuman yang salah proses buat jadi capres itu terkesan licik. Jadi ketika nanti pasangan ini kelak menang akan kah peraturan politik nantinya akan rusak, dilihat yg terjadi sekarang sudah seperti itu bertindak sewenang-wenang tanpa memikirkan dampaknya? Dan hanya bisa dilakukan oleh elitenya para elite?:)"
31,Jangan sampai generasi muda ikut2an dg cara instan
32,"Siapakah Aku?? Aku anak presiden, pamanku ketua MK dan adikku ketum parpol, tenang gampang di atur semuanya 😂🤪"
33,"Penghianat PDIP : ""Nggak apa - apa""
Menghianati konstitusi : ""Nggak apa - apa jugaa"""
34,udah gakpapa doang? bisa jadi besok rakyat yang dihianatin sama dia
35,Clear sekeluarga pulang ke solo lebih cepat
36,keliatan kok kalo gila jabatan lewat anak2 nya belakangan
37,Sdh gk respek...mentang2 anak presiden.
38,"2 TAHUN KOK PENGALAMAN, 2 TAHUN NYICIL MOTOR AJA BELUM LUNAS"
39,Salah ya tetap salah masse.. mau dipermak dengan bahasa gimanapun bagi org waras tetap gak beretika. Indonesia ini etika masih jadi no 1.
40,"Emang gue pikirin juga lu?¿¿¿ wkwk...kasihan deh lu, masih 37 tahun udah nggak taat hukum, nepotisme, aji mumpung bpk presiden, gimana jadi wapres ntar🤦‍♀️🤦‍♀️🤦‍♀️HANCURLAH NEGRI INI DIPIMPIN SAMA ORANG MODEL GINI"
41,"Pada mau ya punya wakil presiden gak tegas mencla mencle tak beretika...gmn kalau dia harus gantikan presidennya yg berhalangan tugas, bisa langsung di caplok asing negri ini"
