Unnamed: 0,comments,label
0,Over confident nih bocah,0
1,"Ntar mengkhianati rakyat, gak apa2 juga ye 😢",1
2,Gx papa ini yg lu buat jdiin contoh ke anak muda masseh??,0
3,Maaf mas sya gk dukung.,0
4,Tengil yah😂,1
5,Partai aja dikhianati apalagi rakyat 😢,1
6,Keluar dari PDI-P tanpa pamit? Gimana sama rakyat nanti😂,0
7,Pasangan via paman nih senggol dong 😂,0
8,"TADINYA MAU ALL IN PRABOWO, TAPI GARA2 NARIK NI BOCAH, GA JADI DEH",0
9,Mereka diperbudak jabatan,1
10,"Kalo pendapat saya sebenarnya jangankan mau maju jadi cawapres, langsung maju jadi ketua PBB juga ga masalah. Cuma jangan merubah konstitusi demi sampeyan aja tho mas-mas… 🥱",0
11,Contoh BELAJAR MEMIMPIN BANGSA dg CARA BERKHIANAT...🤭🤭,1
12,Partainya aja di khianatin apalagi... ah... sudahlah😂,0
13,Ga malu apa ya,0
14,"Ga tahu malu, begini kalo cawapres jalur paman 🤭",0
15,Sebenernya bpk ganjar orangnya merakyat jadi alangkah baiknya bpk ganjar jadi rakyat aja,0
16,Saya tetap dukung Prabowo presiden🔥bersama gibran 2024🔥🔥🔥yakin membawa indonesia maju❤️🤍,1
17,Anakmuda yang SDH mencontohkan sikap yang buruk.....berkhianat pada partai yang SDH membersarkannya demi ambisi berkuasa,0
18,YA ALLAH jadikanlah Pak Mahmud MD jadi wakil presiden RI 🔥❤️,0
19,"Giliran masih di partai PDIP dikata2in, keluar dari partai juga dikata2in dasar mulut netizen.",0
20,Jadi cawapres dgn jalur melegalkan diri lewat MK krn ada om di sana 🤣,1
21,"Harusnya selesaikan dulu dengan pdip.
Kalo caranya sudah tidak benar dengan mahkamah keluarga.
Wong nandur bakal ngunduh.
Bismillah ganjar mahfud 1 putaran.",0
22,Gas pol Ganjar mahfud,1
23,Jgn mau percaya sama pdip mereka main dua kaki kita rakyat dikibulin padahal itu semua sdh direncanakan,0
