,comments
0,Siap pak Prabowo n mas Gibran 🔥🔥
1,Pilihanku tetap prabowo🔥🔥🔥❤️🤍💥
2,Pak Jokowi selalu di hati 🔥❤️
3,Kalau hijau brti amin pak 😁😁😁
4,Anies🔥
5,mulai menjilat
6,"Kasihan,di telikung sama kang martabak🤭"
7,"Yes, pak erick gabung ke pak prabowo 😍"
8,"Salah Satu Amunisi Besar nih dari Kubu Prabowo .
Jadi makin yakin dengan untuk ALL IN PRABOWO GIBRAN 🔥"
9,mantapp pak. rapatkan barisan pasukan Prabowo-Gibran. 🔥
10,Smoga g menyesal n kecewa
11,Kalau ada OPSI 3 periode gw tetap Jokowi setuju?????😍❤️
12,"Urus BUMN dulu lah gK usah neko2,."
13,cawe cawe juga ni 😂
14,Biar hijau gimana...food estate menghancurkan hutan2 tropis dan gagal
15,"sepertinya benar, kl prabowo kalah, akan bnyk yg masuk penjara dan terbongkar aib para menteri"
16,Halahhhhhh
17,Maksudnya bapak mau jadi bagian menterinya lagi nanti?? Gitu??
18,Apakah kita msh mau pilih capres yg jelas2 di blkgnya ada kelompok2 intoleren dan Amrik?
19,Cacat konstitusi
20,"Hijau, adalah simbol kebangkitan Islam. AminAjaDulu 😍"
21,"Mereka gila kekuasaan dan ingin berkuasa,banyak proyek proyek yg mandeg..gak bahaya taa"
22,UTANG VENDOR WASKITA BAYAR WOY MENTERI BUMN yg kaga ada prestasi😢 apa perlu pak luhut yg atasi😢
23,Pasangan pelanggar konstitusi
24,Bumn aja kacau balau
25,Dan Hutang Juga Lebih Besar
26,"BUMN di urus lah boskuuu, bayarin dl utang gw.."
27,"Pensiun Mbah, biar Indonesia diurus yg Fit dan Cerdas Anies Baswedan 🇲🇨👉👉👉"
28,"Kalau yg jadi presiden bukan prabowo,negeri ini jadi mundur begitu,katanya the best ternyata berfikirnya sempit,termasuk penjilat kekuasaan."
29,Ngurus bumn dulu pak yg bener. Ini malah wara wiri urus yg lain.
30,"Awalnya underdog tapi makin kesini tiba2 jadi unggulan 

Pak Anis tetep stabil dg para pendukung nya yg berpedoman pada ideologi yg lebih spesifik

Pak Ganjar yg awalnya bakal mulus sebagai penerus Pak Jokowi tiba2 merosot tajam

Kejutan masih terus berlanjut semua masih bisa berbalik arah hati2 bisa ada yg kesandung lisan di media kaya pak Ahok dulu… siapapun presiden nya meskipun tidak sesuai dengan pilihan kita kita tetap wajib menghoramati dan mendukungnya 🔥"
31,"Coba tanya Prabowo kapan mau datang ke UI bicara diskusi kebangsaan, diundang kok gak pernah mau datang"
32,Bismillah..AMIN Aja Dulu Presiden & Wapres RI 2024
33,Ancang2 cari pengganti cawaprrs baru...siapa tahu yg sdh ada skrg mundur krn putusan MK berubah 😂😂😂
34,"Kode alam , hijau menang"
35,Prabowo - Gibran 🔥👏
36,bukan cuma bapak yg suport kami semua juga all in prabowo 2024 president🔥
37,Iya tenang aja semua nanti indonesia jadi hijau Pak . Hijau matanya kalo lihat duit maksdnya 😂
38,Yes all in prabowo 🔥
39,"Partai kebo mulai panik,tim pemenangan yg dulu2 udah pindah haluan..2024 partai kebo tenggelamkan"
40,Udah tua mndingan istirahat dan tobat
41,"menitipkan negara hijau kepada penanggungjawab food estate, hmm"
42,"Prabowo suruh ngurus rumah tangga dulu aja,hijau itu kalo ga gragas kekuasaan."
43,"Dan ingatlah jangan sampai negara Indonesia Di pimpin oleh orang2 yg Haus kekuasan, ingatlah kata2 mbah kakung th 2030 Indonesia akan hancur,Dan 1 LG sudah 20 th saya ndak berkuasa....cam Kan itu"
44,MASIH PENGEN BANGET CUCI2 YA PAK???
45,"buah dri kesabaran pak prabowo yg selalu dihina & difitnah manusia - manusia dajjal,pak prabowo tetap santuy & santun menanggapinya,alhamdulillah dukungan terus berdatangan 🙏🏻"
46,Saya muda.pecinta olahraga.siap ikuti jalan pak @erickthohir 🔥 All in prabowo
47,@erickthohir sepak bola aja yg urusi..jgn ikut terjun ke dunia begituan..😂😂😂
48,Prabowo Gibran 🇮🇩🇮🇩🇮🇩 unggul satu putaran ya nduk @genduk.wiwin 🔥🔥🔥
49,"Anak nya lebih Cerdas ya.....Mimpin Indonesia Hijau....kan berarti Pak Mahfud MD.👍👍👍 Terima kasih untuk Anak Pak @erickthohir , sudah memimpikan Indonesia yg Baik, Indonesia yg bersih, patuh Hukum....dan Hijau.  Maju Terus GAMA 💪💪💪"
50,"Rayu merayu merayu sana sini, erik tohir urus tuh PSSI, udah lurus apa belum, cobak berpikir jika seseorang loncat sana sini tuk koalisi, apakah ada sesuatu yg ingin di selamatkan dari beban berat, seharusx beban di buat sendiri, seharusx di tanggung sendiri akibat efekx pula, jangan bebankan orang lain dan rakyat dong"
51,"Please.......... Saya msh berharap cawapresnya Pak @prabowo itu pak @erickthohir  Kmrin waktu deklarasi aku sempet kecewa bngt..... Sampe ga enak makan nih beneran. Sbnrnya msh blom nerima cawapresnya Gibran. Bukannya saya meragukan kemampuan Gibran, tp masalahnya caranya itu loh kmrin... Soal putusan MK... Skrg jd bikin rusuh kita semua. Akhirnya pak prabowo dirugikan jg. Skrg setau aku sprt di daerah aku sendiri, bnyk org yg tdnya mendukung pak prabowo skrg mereka bilang pindah dukungan ke Anies krn lihat cawapresnya Gibran. Krn putusan MK kmrin jg yg bikin rakyat bnyk yg kecewa."
52,Apakah hijau yg dimaksud adalah pkb? Kita lihat saja nanti
53,PRABOWO PRESIDEN 2024!
54,Hijau... liat duit aja
55,Mau perpanjangan Mentrikah.. 😁🤭
56,Gk salah ini pk ET sdh di prank jg msh nempel2😂😂😂😂😂
57,Kursi aman 😂
58,🔥🔥🔥🔥🔥😍
59,"PASANGAN SUSAH DI AJAK WIK-WIK ???
SEMPROTT MORGAN PARFUME AUTO NGAJAK WIK-WIK!!"
60,"Eh iya maaf nih mau tanya, barangkali ada yg tau atau bisa rekomendasiin suplemen yg bagus untuk atasi permasalahan vitalitas pria, itu kira kira suplemennya apa ya dan belinya di mana?🙏🙏"
61,😂😂😂😂😂
