Unnamed: 0,comments,label
0,Pak ganjar👏👏👏🙌🙌🙌,0.0
1,Ga Mud = Ganjar Mahfud,0.0
2,The nextttt presidennnnnnn Ganjar - mahfud (Gafud) 😍😍😍😍,0.0
3,Tombol ANIES Presiden 2024 👉,0.0
4,The Next Our President 👏👏,1.0
5,The next RI1,0.0
6,Bismillah Yang Lebih Baik Untuk INDONESIA Aamiin.....Ya Allah 🤲,1.0
7,The best Poko nya,1.0
8,Presiden kamu berikutnya🥰😍🥰,0.0
9,Team bayaran gak disebut pak?😂😂😂,0.0
10,Menang 1 putaran. Aamiin 🤲🤲🤲,1.0
11,"PERSATUAN PENJUAL SATE MADURA SE INDONESIA PRO PRESIDEN GANJAR PRANOWO DAN WAPRES MAHFUD MD, MERDEKA",1.0
12,Baju kok hitam sih pak...warna hitam itu warna negatif...😢...pak mahfud baju putih hrs pak ganjar baju warna merah ...merah putih...😑,1.0
13,Bismillah.. Ganjar-Mahfud menang satu putaran🤲❤️,1.0
14,Kalau pidato selalu keren deh bapak Ganjar 👍,1.0
15,Bismillah Ganjar Mahfud memulai dengan baik hasilnya pasti baik,0.0
16,"PERSATUAN PENJUAL SATE MADURA SE INDONESIA PRO PRESIDEN GANJAR PRANOWO DAN WAPRES MAHFUD MD, MERDEKA",1.0
17,"Mantap,, asli orang Indonesia bukan keturunan Arab dan Cina..!!",1.0
18,Amin semoga ya pak menjadi awal yg baik dan lancar,0.0
19,Bismillah.. Ganjar menang ..presiden 2024,1.0
20,"Alhamdulillah Ganjar Mahfud sudah mendaftar, smua pendukung antusia sekali",1.0
21,Tdk penting ji tetap Anies presiden 2024,0.0
22,"Visi misi program jelas: digitalisasi, libatkan peran generasi muda, reformasi hukum bersama pakar prof mahfud yg teruji, ekonomi hijau-biru, anti korupsi yg sdh dibuktikan ganjar di pemda jateng, mendata lbh baik fakir miskin diseluruh pelosok...jelas lugas realistis...paslon lain masih ngambang 🤷🏻",1.0
23,😂,0.0
24,Amin,0.0
25,SOOOLLIIIIDDDD!!!,0.0
26,🇮🇩,0.0
27,😢😢😢😢👏👏👏,0.0
28,🔥🔥🔥❤️❤️❤️,0.0
29,K,0.0
30,❤️,0.0
31,The Next President 🙏🙏🙏🙏Amin,1.0
32,Gama,0.0
33,Inshaa Allah ..The Indonesian Gold Young Generation Smart President @aniesbaswedan  Religius dan Nasionalist ❤️,1.0
34,Insya Alloh RI 1 2024 Pasangan Ganjar Mahfud,1.0
35,Prabowo presiden,0.0
36,❤️❤️❤️❤️,0.0
37,Semoga Pak Ganjar next presiden.,0.0
38,Ganjar terbaik..,0.0
39,GOFUD INSYAALLAH RI 1,1.0
40,Bismillah Ganjar Mahfud memenang kan pilpres,1.0
41,Mantap ganjar mahfud bersatu buat maju,1.0
42,"Semangat pak ganjar, semoga selalu amanah ya pak jika terpilih nanti. ☺☺",1.0
43,"Wah rame banget ya ☺☺, banyak yg cinta sama pak ganjar",0.0
44,Semangat pak Ganjar Mahfud semoga menang,1.0
45,"Sehat selalu pak.., semoga dukungan yg datang semakin banyak..",0.0
46,Maju terus bapak Ganjar Pranowo -Mahfud Md,0.0
47,Pasangan paling ideal menurutku karena mereka mempunyai rekam jejak yang sangat bagus.. saya sangat bertaruh harapan pada mereka,0.0
48,Sehat selalu nggih bapak.. perjuangan kalian baru akan di mulai,0.0
49,Bismillah menang pilpres 2024 Ganjar Mahfud,1.0
50,Semoga bisa jadi pemimpin rakyat,0.0
51,"Alhamdulillah sudah resmi, semoga menang pak ganjar mahfud",1.0
52,Sah mendaftar di KPU semoga lancar sampe pilpres semoga menang,1.0
53,Memang pantas mereka berdua 😍,0.0
54,pasangan paling cocok memenangkan pesta demokrasi 2024,1.0
55,Keren sekali sehat selalu pemimpin rakyat,0.0
56,Bersatu untuk negeri Indonesia 😍,0.0
57,penerus pak jokowiii👏,0.0
58,Semoga 2024 pak Ganjar Pranowo,0.0
59,Akhirnya mereka bersatu untuk negeri 😍,0.0
60,Sangat keren panutan banget pak Ganjar ini,1.0
61,Mantap GP tetap dihatiikuu🙌🙌🔥,1.0
62,Ganjar Mahfud pasangan yang paling pas untuk memimpin,0.0
63,the next our president ni boss👏,1.0
64,Mantapp pak ganjar,1.0
65,Keren banget panutankuu🔥🔥,1.0
66,Ganjar Mahfud sangat cocok dipasangankan,1.0
67,Ganjar Mahfud didukung oleh semua kalangan,0.0
68,"Bismillah, bersama Ganjar Mahfud, indonesia makin sejahtera🔥",1.0
69,Awal yang baik untuk mendapatkan hasil yang baik. Semangat pak,0.0
70,"Sejarah sdh membuktikan presiden RI yg langgeng nama belakangnya O :Soekarno, Soeharto, Yudoyono, widodo, pranowo or Prabowo",1.0
71,Luar biasa animo masyarakat dlm menyambut Ganjar Mahfud dan mengantarkan ke KPU,1.0
72,Selamat dan sukses pak,1.0
73,PAK ganjar luar biasa0,0.0
74,Tetap menjadi pilihanku semangat terus yaa Pak Ganjar,1.0
75,"Idolaku emng keren bet, gada obat 😍😍",1.0
76,Masya Allah senang banget ya lihat mereka jadi pasangannya pas banget,1.0
77,Tetap Anies❤️❤️,0.0
78,semoga ini adalah pilihan yang benar❤️❤️❤️,0.0
79,bisa yuk jadi presiden❤️❤️,0.0
80,Pak Ganjar Mahfud pasti mennag untuk Indonesia jaya,1.0
81,Bissmillah ganjar Mahfud,0.0
82,🤟🔥,0.0
83,Apakah konsep RAJAPATI atau orang kasar sebut palusabit dapat diterapkan di koalisi partai ini,1.0
84,aku harus mulai berhati-hati menulis di media sosial karena aku khawatir rumus rumus kehidupan dipakai lawan yang salah raja,1.0
85,"Bicara nya singkat padat dan jelas, gk lebay kayak Anis",1.0
86,Gw lebih fokus ke Palestine,1.0
87,AMIN 🤲,0.0
88,❤️❤️❤️❤️,0.0
