index,comments
0,Pokoknya kita optimis siapapun yang berangkat dari banteng kita jatuhkan. Yang setuju angkat tangannya tinggi tinggi🖕🖕🖕
1,Pilihan makin sulit. Antara AMIN atau GAMA. Klik 2x untuk dukung Ganjar Mahfud
2,Kereennnn
3,"Pasangan Ganjar-Mahfud MD memiliki rekam jejak yang kuat dalam memimpin dan mengelola. Mereka dianggap sebagai pasangan yang dapat memberikan kestabilan politik dan ekonomi, serta menjaga keamanan dan ketertiban dalam negeri."
4,Gasss🔥🔥
5,Yuhu🔥
6,"ini tentang JAWA!!!, Indonesia seakan hanya orang Jawa, 🥀"
7,"Adem nih balutan pasangan ini, doa kami menyertai Ganjar Mahfud🤲"
8,Aku padamu berdua pak❤️🔥
9,Bismillah Alhamdulillah 🇮🇩🇮🇩🇮🇩
10,Merah - Hijau Bersatu ♥️💚
11,📌 Duet yang mematikan para musuh.. Gaaasssspooolllll Ganjar - Mahfud MD 🇮🇩
12,"Bismillah, Siapapun yang terpilih, Indonesia Maju ❤️"
13,"Wkwkwkkwkwkwkw ini kalo beneran Ganjar Mahfud, fix pemilu satu putaran. Dan iklim investasi sdh bs ditebak kemana arahnya, inshallah Positif. GanFud! Gassssss!!!!"
14,Mantap😍👏
15,🔥🔥
16,top global🔥
17,🔥🔥🔥🔥❤️❤️❤️❤️❤️❤️
18,Saya sudah ajukan cuti tgl 13-15 Feb 2024 buat nyoblos Ganjar-Mahfud 🔥
19,"Alhamdulillah... bahagia bgt ya Allah, 😭😭 ketika ekspektasi tegak lurus sesuai dengan realita... Gass trus lah, dukung penuh Ganjar - Mahfud.."
20,Kalau begini duetnya. 100 persen saya pilih pak.
21,Aku sih yes🔥
22,"Mohon maaf pak, sepertinya tahun depan saya Pilih Bapak 👏"
23,kami warga jateng siap memberi dukungan untuk pak ganjar
24,"PDIP KETAR KETIR, KATAKAN TIDAK UNTUK MAK BANTENG GROUP 😂😂😂😂"
25,Bismillah nggih pak. Menang 🔥🙌
26,AMIN
27,Untung ada mahfud.. jd saya gak jd golfud..
28,mantap pak Ganjar
29,Ganjar Mahfud untuk republik ini🔥🔥
30,Owh
31,rame pas debat capres cawapres besok 😂
32,Baju garis garis hitam putih desain khusus dari Pak Jokowi jarang dipakai lagi pak?
33,🙌🔥
34,"Pak Mahfud manusia langka, tak berambisi namun bersedia mengabdi demi negeri ini. Saya yakin beliau ikhlas dan mampu.. nanti dia tak hanya jadi wapres PAJANGAN , namun jadi mesin powerfull dalam bidangnya.. jika Ganjar-Mahfud terpilih , ini jadi yg pertama kali Republik Indonesia dijalankan Mesin Dobel Gardan 👍👍👍 Joss pokoe"
35,Selamat pak Mahfud . Semangat untuk pak Ganjar dan pak Mahfud menuju kemenangan 🔥🔥
36,Matur nuwun pak Ganjar sudah menjadi saksi pernikahan kami di 2021. Semoga di 2024 gantian kami yg menjadi saksi panjenengan dilantik menjadi presiden RI. Aamin
37,😢
38,"Jauh""hari (beberapa bulan yang lalu saya udah prediksi)kalau cawapres yg bakal mendampingi pak Ganjar adalah profesor Dr H Mahfud MD,dan itu sempat aku ulas alasannya tentang kelebihan profesor Dr H Mahfud MD di postingan IG aku,dan syukur Alhamdulillah hari ini terbukti 🥰🥰🥰🥰🥰🥰🥰"
39,❤️
40,GOFUD(GanjarpranowO-mahFUD)
41,dua fans MU @manchesterunited mengadu nasib jadi pemimpin negara
42,"Ini mah kebalik, pas nya @mohmahfudmd yg capres, sampeyan sing cawapres nya pak @ganjar_pranowo"
43,Selamat mas @ganjar_pranowo dan pak @mohmahfudmd juga bangga menjadi 🇮🇩🇮🇩🇮🇩🇮🇩
44,All in opo ora iki ? @zahruelradonsilo
45,Pak Ganjar saya dukung Bapak jadi presiden RI 2024 dan pak Mahfud utk Indonesia Merdeka. Bhineka Tunggal Ika. Indonesia ku Tercinta . @ganjar_pranowo @mohmahfudmd  God bless 😇😇✊️✊️🇮🇩🇮🇩🇮🇩
46,Ganjar - Mahfud 2024 🔥 @arifadii__
47,kecewa pak 😢 @mohmahfudmd
48,MalaikatKU 😂😂😂 @dyahsylvie
49,wani ngetok e undangan² presiden hukum mati bagi  koruptor mboten pak @ganjar_pranowo @mohmahfudmd
50,"mas wali sangat santun, sangat merakyat. alfatih nya indonesia. pemuda hebat . mas wali = jokowi 😍"
51,"AHHH , INI KEREN , TOP , Indonesia akan lebih baik ke depan … 🔥✍️😇"
52,Bismillah menjadi presiden dan wakil presiden nya🔥🔥
53,🔥❤️
54,Kawal sampai Istana Negara❤️🔥👏
55,Ganjar Mahfud topp🙌
56,"Sehat selalu utk pak ganjar sama pak mahfud, kalau terpilih diperhatikan gaji dosen ya pak @ganjar_pranowo"
57,Selamat atas dipasangkannya pak Makfud. Mg membawa berkah. Ini ideal. Sukses
58,ganjar dan mahfud md menang satu putaran pilpres 2024😍😍😍😍😍😍😍😍🔥🔥🔥🔥🔥🔥🔥🔥
59,"Mantappp, pasangan yang akan memenangkan pemilihan tahun depan. maju terus pak ganjar dan pak mahfud."
60,"Duet Maut unt Indonesiaku 🇮🇩, semakin Maju Mboten Korupsi Mboten Ngapus!!!i 💪😍"
61,JATENG JATIM Menang Mutlak🔥🔥
62,"Tetep konsisten ya pak... Memimpin atas kehendak njenengan sendiri, bukan perintah ibu mega"
63,ALL IN #GanjarMahfud2024 🔥
64,GAMA PILIHAN KITA
65,Gaspol Ganjar Mahfud
66,yakin Ganjar Mahfud winn🔥🙌
67,🔥🔥🔥
68,Orang” yang sangat jenius dan tegas ❤️❤️ bismillah menang satu putaran 🤲🏻
69,dukung Ganjar Mahfud pokoknya
70,Siappp
71,Ngeerrtiiiii
72,Pak ganjar...aku padamu pak...tapi nek pppk jateng ga ada loker utk guru b ing aku ga jd padamu😢
73,❤️❤️
74,GARMA 👍
75,Bismillah 🔥🔥🔥🔥🔥
76,Semalam #pilihbajuganjar Hitam-Hitam. 🔥
77,Gak bahaya tah
78,La kok ngno maine..
79,Kereen ini baju batik Pak Mahfud ini motif kalimantan klau ndak salah. Bolehkah Pak baju nya saya dikasih biar bisa beruntung sepertih Pak @mohmahfudmd 🙏🙏
80,gaaas🔥🔥
81,🫵🏻🫵🏻🫵🏻🫵🏻🇮🇩🇮🇩🇮🇩🇮🇩❤️❤️❤️❤️😍😍😍😍
82,❤️❤️
83,"bersama Ganjar Mahfud, indonesia jaya dan maju"
84,"Pak kami doakan, bapak berdua Menang, bisa memimpin Indonesia....dari kami Minoritas yang SUSAH utk MENDIRIKAN tempat IBADAH...amin"
85,@indahfitria13 masih ngefans gak ?
86,😂
87,All in menang 1 putaran 🔥🔥🔥
88,hanya maling dan rampok uang rakyat yg tdk suka MAHFUD😁☝️
89,SIAP MENDUKUNG PAK!!! DEMI INDONESIA🇲🇨👍🇲🇨
90,Baju pak Mahfud bermotif Kalimantan
91,Bismillah.. GaMa gaspolL !!! 🔥🔥
92,Pak Ganjar itu jiwa berksatria muda penuh berakhlak Jawa yang mulia ❤️
93,Pasangan ini pasangan fantastis akan menjadi sejarah besar 2 pendekar bangsa ini bersatu untuk memimpin bangsa Indonesia agar menjadi bangsa yang lebih baik
94,Nanti kalau kepilih difungsikan ya wakilnya
95,@nasrulhhaq tiba-tiba NU
96,Yang penting amanah untuk RAKYAT INDONESIA jujur dan tidak mengecewakan hati rakyat...
97,"Bismillah, Ganjar Mahfud Presiden dan Wakil Presiden Republik Indonesia tahun 2024 👏😍"
98,Siap memenangkan Ganjar Mahfud untuk Indonesia 🤘🏼🥰
99,"Bismillah,Ganjar,Mahfud menang"
100,indonesia maju bersama kedua pasangan ini❤️
101,Nasionalis - Religius❤️🔥
102,Pak ganjar dan pak mahfud adalah dua orang yang tegas dan bekerja dengan sepenuh hati untuk membangun indonesia menjadi lebih baik. Semoga dimenangkan dipemilu 2024 nanti yah pak.
103,Tahun depan kasih hattrick buat PDI🔥🔥🔥 @nanda.asprila @sephian_7
104,Kebersihan hati dan tindakan yang berintegritas adalah pondasi yang kuat untuk membangun negara. Pak Ganjar dan Pak Mahfud MD adalah dua pemimpin yang memiliki pondasi ini.
105,"Semoga  Allah meridoi panjenengan berdua tuk memimpin bangsa ini,  semangat bertarung jagoanku,  kami mendukung mu 😍😍😍"
106,Mantap...awal mula sudah mantap...tambah pak mahfud ikut tambah mantap....tegak lurus  kader PDIP menangkan ganjar...
107,화 이 팅
108,AKU GAK MUD😢
109,Sing pinggin boleh ganjaran kudu milih pak @ganjar_pranowo 👏👏👏👏
110,Pret😒
111,Ganjar Mahfud sama sama cerdas. Sama sama sederhana dan anti korupsi. Kawal terus sampai jadi presiden dan wapres
112,Indonesia akan menjadi lebih baik bersama pak Ganjar Mahfud
113,"Persis spt tebakan bapak bapak pas jaga ronda dikampung,, pak ganjar dan pak mahmud calon pemimpin NKRI yg cerdas berwibawa jujur rajin menabung dan tas tes !!! Gass pak e,, aku bocahe sampean 😂👌"
114,Bismillah pak @ganjar_pranowo  dan @mohmahfudmd sehat trs berkah salalu❤️
115,Semangat pak GP
116,siap calon presidenku🔥❤️
117,Ogah
118,Siap menangkan❤️
119,BISMILLAHIRRAHMANIRRAHIM MENANG 1 PUTARAN
120,Gayeng @antonpipicaqidhi
121,Masokkk pak Ganjar. 💖
122,Budal yok..
123,Mahfud MD @adji_purbo @hartanto.tann
124,Salam hormat Prof. Mahfud @mohmahfudmd
125,Apa prestasinya Ganjar di Jawa tengah? (kata @presidenilc )
126,"Akhirnyaaaaaa , Mejuah juah bapakkk ❤️"
127,Gasss🔥🔥
128,Ccok.
129,"Sangat setuju sekali pak mahfud jadi wakil presiden,yaqin 100℅ menang 1 putaran 🔥👏"
130,Yessir🔥🔥
131,jangan lupa kalau ke Sarinah jangan lupa mampir ke GM iya .....ganjar-mahfud
132,"Heleh,ngko lk seumpamane dadi mlh nyengsoro rakyate pak"
133,InshaAlloh sy pilih
134,bikin lawan ketar ketir ini mah pak🤣
135,🔥
136,🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩
137,@erlinn15_ piye ngab
138,Pinter bngt pdip
139,Ngk suka Megawati nya.
140,Easy win❤️
141,Optimis bisa yuk pak 🔥🙌
142,Pasangan terbaik untuk Indonesia yang lebih maju 🔥 Ganjar Mahfud
143,Ganjar Pranowo presiden RI ❤️
144,GoFud?
145,Sukses pak Ganjar
146,"Alhamdulillah, in sya allah lost🤣🤣🤣"
147,"Yukk bisa pak,mnjadi indonesia yg lbh bersih dan transparan. Ingaat semua ini hanyalah titipan allah swt"
148,"Dukung banget, pasti Indonesia lebih baik bersama Pak Ganjar Mahfud 🔥"
149,Selamat pak ❤️duet yg tepat❤️
150,Masyallah 😍 Pemimpinkuu
151,"Cocok ini pak Ganjar Mahfud bisa membangun Jateng semoga bisa membangun negeri,,,,"
152,"Ganjad Mahfud sak jos e,Indonesia maju bersama Ganjar Mahfud"
