index,comments
0,"Semangat, Pak."
1,BISMILLAH PAK ❤️ 🇮🇩
2,Gasss pak🔥
3,Ini yang kumau.
4,"Polling yuk, silakan tekan tombol yg pilih Anies-Muhaimin (AMIN)>>>>>>>>>>>>>>"
5,prabowo presiden ku 🔥❤️
6,"Menang, menang, menang. Tuhan memberkati. 🙏👍👍"
7,Saya dulu prabowo tapi sekarang Anies
8,All in prabowo
9,👏👏👏👏👏👏👏Bismillah Menang🇮🇩🇮🇩
10,all in prabowo-gibran🔥👏
11,Dari tahun ke tahun selama masih ada gambarmu di kertas itu bakal tetep tak coblos Pak! 🔥
12,Perawan = PERAbowo With gibrAN😂
13,CAPRESKUUU🔥🔥🔥
14,All in PraBran 2024 🔥🔥
15,Insyaallah Allah kalo ini wakilnya saya pilih pak Anis mohon maaf pak bapak seharusnya pilih pak Ridwan Kamil sbgai capresnya
16,All in Anis
17,all in🔥
18,Bismillah Prabowo Gibran RI 1&2🤲
19,🔥🔥
20,Pa saya dukung bapa terserah yang lain mau dukung siapa bodoamat ❤️
21,All in pak prabowo
22,NTT ALL IN PRABOWO-GIBRAN 🦋🕊️❤️🙌🥳
23,Bismillaah PRABOWO-GIBRAN 👏🔥❤️
24,❤️
25,ALL IN PAK PRABOWO & MAS GIBRAN ❤️
26,MAGELANG ALL IN PRABOWO-GIBRAN
27,ALL IN PA
28,"Saya dulu ke Pak Prabowo, tapi saya All in ke Pak Anies ❤️"
29,2x Pilpres pilih Prabowo...krn takut kalah lagi ..apalagi salah pilih Cawapres...saat nya pindah ke Capres lain...AAMIIN
30,ALL IIN 🇮🇩❤️
31,"Pak saya warga tangerang dukung bapak,,2 x pemikihan slalu dukung bapak,,dan yg ke 3 x ny akan dukung bapak,,sehat slalu ya pak😢😢"
32,Bismillah presiden 2024 prabowo-gibran🔥
33,Warga fesbuk sepakat no BANTENG !!!!! SEMANGAT THE NEXT PAK PRESIDEN RI
34,"all in nihh, ada lawan?"
35,"TETEP PRABOWO-GIBRAN(JOKOWI) , KALAU YG LAIN TAKUT IKN GA JALAN, WONG BANGUN JALAN REMBANG AJA SEUMUR HIDUP GA JADI2😂😂"
36,BISMILLAH INDONESIA EMAS BERSAMA PRABOWO-GIBRAN🔥🔥
37,"Santaaaaiiii WO, karena semua akan ANIES pada waktunya. 🔥🔥 (;manis)"
38,BABEH  Tantanan Dunia ini sudah melenceng dari KONSEP
39,2024PrabowoGibran 🔥
40,Bismillah ya pak🥹🙏🏻❤️
41,ALL IN PRABOWO -GIBRAN🙌🙌
42,"Utk ketiga kalinya, saya izin Move on pak 😢🙏"
43,Mana suaranya para pendukung pak Prabowo Gibran di 2024 👏🙌❤️
44,"Kalo memang kalian mendukung Pak Prabowo dari Hati.. pasti ga akan kecewa , apapun keputusan yg di ambil psti sudah d pikiran matang2.. sehat slalu Pak @prabowo .. ALL IN PRABOWO - GIBRAN ❤️"
45,Milenial dan Gen-Z Sumatera Utara siap memenangkan Bapak @prabowo dan Mas @gibran_rakabuming untuk menjadi Presiden dan Wakil Presiden Republik Indonesia periode 2024-2029.
46,@senja_arinta59 🔥🔥
47,@husni_anto amin
48,"PRABU👍, PRA @prabowo, BU (rakaBUming) @gibran_rakabuming"
49,Info loker @iamrahmatnovrialdii @haliimm19 @ozisptra_ @arkasptn
50,"Masi ada aja yg milih, kocak🤣"
51,@cndymilkky all in pra-gib ini ma🔥
52,Semngat bapak @prabowo bismillah menang ✨✨✨✨✨
53,Bismillah Bapak❣️💫
54,All In Prabowo Gibran🔥🔥
55,Semangat pak🔥
56,all in prabowo-gibran❤️‍🔥❤️‍🔥❤️‍🔥
57,"Klo sudah jadi presiden, jangan lupa sama saya pak, saya suport dari 2014😍😢"
58,siap support❤️
59,"PSI dukung prabowo-gibran, 2024 prabowo menanggg😍😍"
60,Anak muda all in prabowo lah ♥️✌️
61,Turukan harga mie ayam baksooooooooo🔥🔥🔥
62,All in PRABOWO - GIBRAN 🔥🔥🔥
63,Karawang siap all in Prabowo presiden RI ❤️
64,Bismillah PRABOWO-GIBRAN menang telak 1 Putaran 🇮🇩
65,❤️
66,"Pak, saya cinta bgt sm bpk, dr awal sy cukup umur untuk pemilihan sy dukung bapak smpe skr❤️ sehat terus pak, semoga bisa bertemu"
67,"INSHAALLAH BAPAK TAHUN INI REZEKI BAPAK MENJADI PRESIDEN ❤️, SEHAT SELALU BAPAK"
68,"Seharusnya ada UU selagi ortu msh jadi presiden maka ank atau pun menantu tdk boleh menjabat,klw seperti hubungan buk Mega dan pak Jokowi jadi renggang gara gara suatu permasalahan 🙏🏼"
69,Saya dari NIAS mendukung berat paka Prabowo - gibran🙌🔥🔥❤️❤️🔥
70,Bapa sehat sehat terus paaaa
71,🙌
72,Saya yakin bpk menang 👏
73,"Tadinya saya kepingin mendukung @ganjar_pranowo dan @mohmahfudmd tetapi sekarang kok jadi bingung saya, hati saya kok condong ke @prabowo @gibran_rakabuming . Sesulit inikah memilih Capres-cawapres. Padahal 2014 dan 2019 tidak pernah segalau ini 😂😂"
74,All in Prabowo-Gibran ❤️
75,❤️❤️🙌🙌👏👏
76,ALL IN PRABOWO SUBIANTO SEBAGAI PRESIDEN KE 8 Amin🤲🤲🤲
77,🤍🤍🤍
78,"No petugas partai, No ingkar2 janji, pokoknya All in #Prabowo2024 🔥"
79,ALL IN PRABOWO❤️🔥
80,All IN Prabowo -gibran🙌
81,Yesss calon presiden dan wakil nya 😍😍
82,GUA NIAT DUKUNG BELIAU DARI DULU TANPA MELIHAT SIAPA WAKILNYA. SEKRANG TETAP SAMA GA BERUBAH. SERTAN APA SALAHNYA SOSOK ANAK MUDA YG MENJADI WAPRES. PENTING NIAT DAN TEKAD YG BAIK UNTUK INDONESIA YG LEBIH BAIK 🙏🏻🙏🏻🙏🏻👊🏻
83,All in 🔥
84,❤️
85,"Saya dari dulu simpatisan Bpk sya slalu dukung Bpk. Namun disayangkan dipilpres skrang cawapres Bpk bukanlah yg sya harapkan Pak. Yg muda2 maju itu bagus Pak. Tapi disini bkan hanya sekedar pengabdian kpd Negara  tapi disini tentang seorang pemimpin negara yg harus bnar2 matang, berpengalaman, berkapasitas ngerti tentang mengatur kenegaraan bahkan beridiologi dgn negara manapun. Sya tidak mau trulang kembali pemimpin (wapres) yg kurang kinerjanya hanya sekedar nama besarnya saja. Mnurut saya bnyak kandidat Cawapres yg lebih matang, berprestasi, berkapasitas, berpengalaman dan berkarisma sperti Bpk. Sya lebih baik Mundur Pak mohon maaf..."
86,"""Selalu Meleset""...sudah ditakdirkan,tak akan pernah yah...(simpan ramalan ini)...bukan tujuan mempengaruhi pemilih,...tapi masyarkat Indonesia akan sy edukasi untuk bisa berpikir logis dlm ambil keputusan..."
87,All in prabowo gasih
88,A1 MENANG PAKKKK
89,Siapapun wakilnya saya dr pemilu yg dulu2 juga pilih pak Prabowo🔥🔥
90,Bismillah Pak @prabowo Presiden 2024 👍👍
91,All in prabowo 2024🔥❤️👏
92,ALL IN PRABOWO 🙌
93,"Kali ini karena Gibran sudah berlabuh menjadi wapres Pak Prabowo, saya akan dukung Pak Prabowo. Semoga sukses menjadi Presiden RI nggih Pak"
94,All in..🔥
95,🔥
96,Innalillahi wainnailaihi rojiun
97,"Sehat selalu pak @prabowo  dan mas @gibran_rakabuming semoga allah memudahkan jalan dan niat baik serta tujuan bapak aamiinn.. Allah ngga tidur pak, kita disini semua dukung bapak yang selalu mengutamakan anak-anak muda dan penerus bangsa ini.."
98,2024 jatahnya pak prabowo 🙌 All in
99,Pak prabowo presidenku🥰🥰🥰🥰🤍🤍🤍🤍
100,Kacau
101,Dari Kalimantan Timur Berau siap dukung prabowo
102,Projo merapat.
103,@tonykaylaramadhan  pancet opo berubah 🫣🫣
104,❤️❤️❤️🔥🔥🔥🔥
105,aku pada mu pak🔥🙌
106,Wakil nya siapa ?
107,Bismillah😍
108,🔥🔥🔥🔥
109,Semangatttt yoo pakde 🔥🔥🔥
110,Saya dulu pendukung setia Prabowo...tapi karena beliau menggandeng wakil yg tidak berkualitas... terpaksa saya pindah haluan...kenapa harus dia...apakah tidak ada yg lain yg berkualitas...
111,All in
112,sebenarnya duet pak gemoy dan pakde jkw sih ini.
113,All in Prabowo-Gibran🔥🔥🔥
114,siapa aja presidennya asal bukan dari PDIP 🫠 ga mao liat mak banteng lagi
115,😍🔥😍 PRABOWO GIBRAN 😍🔥😍
116,all in prabowoo🔥🔥🔥
117,Ayo pak lanjutkan... BISMILLAH WAYAHE. DADI 😍👏
118,"Tapi bapak harus sehat selalu yaa, biar bapak yang selalu pegang kendali🥺😭🙏🏻🤗"
119,All in Prabowo 🔥🙇
120,ALL IN PRABOWO
121,Dari segi kader aja udh menang putaran pertama tapi gatau ya kalo kaya yg dulu lagi ytta😂
122,ALL IN PRABOWO SUBIANTO🔥🔥🔥
123,Dalam Nama Tuhan Yesus. saya dukung bapak @prabowo . mohon izin pak apabila nanti bapa terpilih menjadi presiden. semoga pembangun GEREJA di seluruh indonesia ini tanpa kendala apalagi penolakan .🙏🙏🙏
124,ALL IN PRABOWO🔥❤️
125,"SEMOGA ALLAH MERESTUI SEGALA NIAT BAIK,Sehat terus Pak Prabowo❤️"
126,BISMILLAH ALL IN PRABOWO 🔥
127,All in 🔥
128,🔥🔥🔥
129,🔥
