index,comments
0,Cie cieeee 2024 optimis Prabowo presiden 🙌🔥
1,"Bapak role model saya pak dari 2014 kemarin🔥🔥🔥 mudah""an sukses ya pak 2024 nanti #prabowopresiden"
2,Tim Prabowo —————>
3,pak tahun depan kami buat bapak bisa menginjakan kaki bapak di karpet merah.. Amiin..
4,"yang lain mana bisa gagah gini, bisa nya cuma jelekin doang😂"
5,"Beda memang senyum Pak Jokowi ketika bersama dengan Pak Prabowo atau dengan Pak Ganjar. Dengan Pak Prabowo senyumnya lebih lepas & ikhlas, beda kalau bersama Pak Ganjar, senyumnya terbatas 😂"
6,kerenn bapakkk😍🔥Bismillah 2024🙏
7,Kami yakin Prabowo akan membawa kejayaan bagi negara kita! ❤️🇮🇩 #GloryWithPrabowo
8,❤️❤️🙌🙌🔥🔥
9,"Umur 72 tapi semangatnya 45,mantap calon RI1🫡"
10,❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️
11,ALL IN PRABOWO!!🔥
12,Setelah ini jatahnya Pak Prabowo (presiden jokowi)
13,❤️❤️❤️❤️❤️❤️❤️ sehat terus pak
14,ALL IN PRABOWO ❤️
15,Bagus banget
16,Bismillah gassskeunlah prabowo yes
17,Sehat selalu pak Prabowo ❤️❤️❤️
18,mantull
19,"Ijin Pak Menhan,,,,Dengan penuh Hormat mengucapkan,,Dirgahayu TNI ke 78 Sukses dan Jaya untuk Indonesia Maju,,Sehat dan sukses selalu Pak Menhan,,,"
20,Sehat selalu bapak🤲🏻🫶🏻
21,All IN BAPAK PRABOWO SUBIANTO.
22,Tahun depan bapak❤️🙌
23,Sehat selaluu pak
24,"Sehat selalu Pak @prabowo .. tokoh persatuan bangsa, calon Presiden RI terbaik 🙏🙏"
25,Anti menjatuhkan lawan mana pun hebat dirimu pak ❤️
26,Presiden RI ke 7 bersama Presiden RI ke 8
27,Indonesia Bukan cuma Jakarta & Sekitarnya Tetapi Aceh/Sumatra jugak INDONESIA : 2024 All in Prabowo 🔥
28,Pak Bowo gagah banget ....
29,siap jendral
30,Bismillah 2024 Prabowo Presiden
31,Wahhhhh panutan ku❤️
32,Prabowo 🔥🔥
33,Total Prabowo ❤️✊🔥🔥🔥
34,Mantap ❤️
35,#allinprabowo2024 #prabowo
36,Semoga Akmil menerima lulusan SMK pak 😊🙏
37,Sidikalang hadiiir. Horaass!!
38,Tim sebelah ketar ketir ga si
39,"Pahlawan sejati, Prabowo siap berkorban demi Indonesia."
40,Jangan Lupa Rabu 14 Februari 2024 coblos Prabowo...!!!🔥🔥🔥
41,Prabowo Presiden 2024
