index, comments
0,"GAK JADI DUKUNG BAPAK PRABOWO , KARENA CAPRES NYA GIBRAN ANAK NYA JOKOWI . MAAF GAK JADI CINTA SAMA PAK PRABOWO SEKIAN DAN TERIMA KASIH"
1,Pak Prabowo selalu salah milih wapres.
2,Kalau memang cawapres bapk gibran. Saya tidak milih bapak 🙏
3,Maaf pak pilpres kali ini sy gak milih bapak😢 karna cawapres nya Gibran. Padahal dulu 2x pilpres selalu milih bapak.
4,Tombol Prabowo-Ridwan Kamil ➡️➡️➡️
5,Mayoritas pendukung komennya jangan Gibran.. jadi jangan ngeclaim yang di pinginin rakyat itu gibran yaa.. mayoritas pendukung bapak nolak gibran..🤣🤣
6,"Bukan mas Gibran ga bagus pak kinerja nya,bukan itu,tapi lebih ke masih terlalu dini pak kalo mas Gibran jadi wapres nantinya,blm terlalu matang usianya juga,ini buat jadi kepala negara pak,lebih baik bapak pikir lagi matang matang ya pak,ada saatnya pak buat mas Gibran,tapi bukan Sekarang"
7,salah pilih cawapres sama dengan salah langkah pak. padahal kesempatan menangnya besar bgt loh tahun depan. coba pilih pak ridwan kamil yg dicintai banyak kaum millenials. udah auto menang. duh pak sayang bgtt :(
8,Tombol (Prabowo - Gibran) RI 1 dan RI 2 2024 🔥 ➡️
9,Please pak jangan Gibran 😢 bapak mau menang ga sih?
10,"Saya kasihan sama bapak,ini udh kali ke 3 nyalon jadi presiden,percaya saya pak,kalo bapak pilih cawapresnya mas Gibran,ini jadi kegagalan bapak yg ke 4 pak,ayo lah pak, ini tahun nya bapak,jangan sampe ""terpeleset"" pak itu pesen saya"
11,Ridwan Kamil pak. Please... cawapres yang paling tepat 😭
12,"Tdnya gw mau milih doi, tau gandengan sama bocah, ke anies ajalah, asal jgn ke banteng😂😂😂"
13,Intinya jangan Gibran pak
14,Pliss pak jangan sama gibran bakalan turun drastis suara. Milenial udh all in ke bapak jangan blunder lagi pak lihat 2019-2014 banyak pengalaman.
15,Ad yg curiga ga kl org2 yg mau gibran cawapres itu musuh dlm selimut nya prabowo yg sengaja dikirim kubu sebelah buat menurunkan elektabilitas prabowo?
16,"Gandeng prof Yusril pak di jamin menang  kami kaum Gen z ga peduli soal gibran dan ga ngefek sama sekali untuk mendapati suara kaum muda karna kita juga tahu kapasitas seorang figur yaitu gibran masih belum cukup/pantas jadi wapres. Mohon di beri perhatian penuh untuk  hal yg satu ini karna kalau ga bisa blunder dan fatal pak akibatnya, kekuatan lawan sebelah juga ga bisa di anggap enteng kapasitasnyaa, Bravo Prabowo presiden."
17,Tidak lelah kuingatkan sebelum gong berbunyi.. PAK TOLONG JANGAN GIBRAN. 🥹🙏
18,Jangan samapai Gibran 👏
19,Aku mundur pak e 😁😁
20,Ayok Kekuatan Netijen Prabowo - Ridwan Kamil
21,WAKILNYA KANG EMIL ATAU YUSRIL AJA PAK😢
22,"Pak, dibaca kan komen”an buat kasih masukan bapak biar ga salah pilih pak. Lawan bapak yg sebelah berat pak jam terbang udh tinggi sm citranya udh bagus.. jadi Please pak jgn pilih Gibran, klo bapak mau menang untuk thn inj. 
Pilih Erick Tohir aja pak, kekayaan beliau setara dgn bapak. Jadi buat kampanye ga perlu pake duit partai pak. 🙏🏻🙏🏻"
23,Dahlah pak
24,ALL IN PAK PRABOWO siapapun cawapresnya pak 👏
25,"tolong cawapres nya jangan sama gibran pak, kami ingin bapak jadi presiden 2024 nanti🙏🏻"
26,"JANGAN PILIH GIBRAN Pak. tlg kami anak muda pun bisa menilai cari negera yg kami cintai i menghalalkan calon agar bisa maju dgn keputusan mk ya, dan tlg bapk jgn cidrai perjuangan ini dgn memanfaatkan keputusan mk itu.. tlg banget.. ini bukan masalah kami kaum muda memilih yg mudah jg bukan pak. tpi kami suka skli punya pemimpinan integritas begitu kuat dengan cara yang benar."
27,"Selamat lose streak bapak, padahal untuk yg sekarang mau all in bapak tapi kenapa harus gibran 😢"
28,All in Prabowo
29,"Bapak please, jangan Gibran😭"
30,Kenapa cawapresnya gibran si pak .aku dari dulu pilih bapak terus loohh😩
31,Pak prabowo cawapresnya siapa pak?
32,"Bpk jgn Pasangan Gibran, klo pasangan di pastikan nggak Menang. 🙏🏻"
33,"Sorry pak, sekampung pilih golput klo cawapresnya cabutan 🥴"
34,Mantap JENDRAL MENHAN
35,#blunder
36,Selalu membuat kecewa pendukung😌
37,Anis Baswedan 2024
38,"ANIS AJA UDAH, KLO WAPRESNYA KEMAREN RK BARU PRABOWO"
39,Luar biasa memang semoga GMKI tetap tegak lurus sebagai organisasi non politik 🙏
40,Pengalaman berjuang sejak muda bhkan di medan pertempuran serta pemahaman yg mendalam ttg pentimgnya peran pemuda yg membuat timggimya komitmen Pak.Prabowo dalam memajukan para pemuda Indonesia...
41,Pak knpa gak gandeng pak ridwan kamil atau pak agus Yudhoyono 😴😴😭
42,Ga usah Ragu pak mau Gibran atau siapa juga pasti saya pilih Pak Prabowo
43,Panjang umur Jenderal @prabowo
44,Sehat selalu jendral @prabowo
45,"Cari calonya yg berpengalaman lah pak, bukan mas @gibran_rakabuming gak bagus, tapi masih terlalu dini untuk pendamping bapak, lebih baik jadi menteri ajah."
46,Tolong pak... Jadikan pak @ridwankamil wapres kami... 😭😭😭
47,Matappaka @tandiesak_parinding
48,Jangan salah pilih cawapres pak😮.. pak @yusrilihzamhd  cocok sprtinya
49,Wizzz @novritasandante
50,"Banyak yang kecewa, Karena menurut kami termasuk Publik Gibran sangat belum mumpuni, Ridwan Kamil lebih kuat untuk menopang Bapak"
51,"Amit2 wakilnya Gibran, kalo  bapak pilih gibran saya pilih golput pak"
52,"Pak tolong lah pak cawapresnya jgn gibran, kalau gibran saya gajadi milih bapak… pilih cawapres yg tepat pak tolong. First time nyoblos jadi bingung🥲"
53,PRABOWO - RIDWAN KAMIL ✅✅✅
54,Cawapres @susipudjiastuti115
55,"Pa jangan blunder, kalopun menggaet gibran jadi cawapres karna tujuannya untuk mencari mayoritas suara dari jateng,, tapi ingat sebagian pendudukung bapak @prabowo dari 2 periode sebelumnya pasti bakal pindah haluan ke anis, dan mayoritas anak muda di indo juga pasti auto bakal pindah ke anis,  tolong dipertimbangkan lagi dengan matang pa jangan sampai blunder"
56,"2 kali pilih pa Prabowo, tapi untuk kali ini kalo cawapres Gibran engga, saya ga pilih bapak dlu, mudah-mudahan bisa dipertimbangkan lagi jangan sampei salah pilih atau blunder, padahal klo sama Ridwan Kamil, Eric Thohir atau pa Yusril lebih cocok, bang @andre_rosiade coba dipertimbangkan lagi banyak yang tidak setuju klo Gibran cawapres nya"
57,"Pilih Gibran berharap banyak dapat suara di Jateng, tapi kehilangan Suara dijabar,Jatim, Sulawesi, Kalimantan Bali, tolong dipertimbangkan kembali para ketua parpol, banyak yang tidak setuju klo Gibran jadi cawapresnya @zul.hasan @yusrilihzamhd @gerindra @andre_rosiade"
58,"Prabowo - Ridwan Kamil, Insyaa Allah juara🥹"
59,Jangan ada planga plongo jilid 2 pak😢
60,Siapapun nanti bakal cawapresnya.. Sy ttp pilih bpk prabowo😍❤️
61,"100% pada tidak setuju dengan mas gibran, mending pak rk atau gk pak yusril"
62,"Pak saya pendukung bapak dari dulu, tapi kalau bapak sama gibran saya mundur🙌"
63,"Hati2 pak pilih cawapres,,,gibran sengaja diipasgkan ke bpk supaya kalah nanti dipilpres,"
64,Gajadi pilih pak karna gibran maaf
65,"Bodo amat siapa wakilnya, toh kl menang tetep Prabowo yang jd Presiden wakilnya cuma duduk aja... All In Prabowo...!!!!🔥🔥🔥🔥🔥🔥"
66,Pertanyaannya kenapa banyak anak muda yang merapat ke bapak @prabowo ? Karena cuma beliau yang bisa mengayomi dan selalu menyemangati kawula muda saat ini
67,"Please pak jangan sama gibran, sama ridwan kamil aja pak , saya pendukung bapak 2x berturut turut, dan kali ini juga tapi jangan sama gibran pak 😩"
68,JANGAN GIBRAN PAKKKKK SAMA RIDWAN KAMIL AJAAAAA!!!!
69,pak Prabowo - ridwal kamil / yusril pak
70,"Coba gandeng Prof. Said Aqil Siraj, Prof. Yusril atau Ridwan kamil pak. Bapak sangat cocok dengan ketiga calon tersebut, Insyaallah sama² visioner untuk negara ini 🙏🏽"
71,kenapa gibran sih pak!!!
72,"Pakk pls jgn gibran, pak erick aja udah. Siapa kek orng golkar. Jgn gibran"
73,sama ridwan kamil auto Win pak.!
74,"masa iya mau gagal jadi presiden ke-3 kalinya karena blunder salah pilih cawapres yg ga sesuai kemauan rakyat yg mayoritas gen Z & Millenial pak.. ga capek apa, yg pasti pasti saja dong milih cawapresnya pak.. Pak @ridwankamil kandidat unggul terbaik dengan segudang prestasi dan inovasinya di Jawa Barat"
75,"Jangan sampai blunder pak, intinya jangan sama Gibran 😢😢"
76,"Bapak tolongggg, cawapresnya jangan gibran 😢"
77,"Jangan mas gibran yah pak😢, ini permintaan rakyat yg setia dukung bapak"
78,"BASING PAK CAWAPRES BAPAK ,ASAL JANGAN GIBRANNNNNNNN!!"
79,Pertimbangan nya apa y molih anak yg jam terbang nya blm memenuhi
80,Blunder klo cawapresny gibran
81,KOMPAK PINDAH HALUAN
82,Kalo gibran saya pindah ke pak anies aja deh pak
83,"Pliss pak jangan bikin blunder, mending RK drpd gibran"
84,Mahasiswa kristen kmana pas banyak gereja yg di persulit izin lagi ibadah di bubarin gilirian ginian aja nongol lo pada lawak
85,"plis pak, pak Yusril pilihan terbaik diantara semuanya pak 🙏"
86,saya dukung pak Prabowo - Yusril
87,Maaf kalo sama gibran skip pak
88,Tim yang golput jika cawapres Gibran 🔥🔥
89,Untuk pak probowo menang padahal tdak hrus berpasangan dgn gibran..blunder sekali ini. Yakin bnyak yg awalnya ingin milih @prabowo akan memilih ke capres yg lain.
90,SIAP PINDAH HALUAN KE ANIES.
91,Saya Sekeluarga Besar Bakal All In Pak Prabowo kalau Bacawapresnya Kang Emil 👏👏👏
92,ngeri @jessicaesthr
93,Gak ada kandidat laen pak selain gibran? Sip otw golput..
94,"Wibawa bpk turun klo dipasangkan sm gibran, tadinya singa skrg kyk kucing Pak, gk ada yg takut tp bikin gemes.... Beda jauh wibawanya... Sy kecewa pak"
95,Tetap pantau wapres bapak.. Jangan ada Mas G diantara kita
96,"Mosok nggih kudu kalih mas Giibran to pak, wonten sing luwih becik. Sing nyoblos mboteng tiang Gen Z mawon. Tiang gen Z nggih pun ngertos pundi sing becik damel negoro :("
97,"Terima kasih atas waktu dan kesempatannya Jendral @prabowo , sehat selalu dan bahagia selalu."
98,"Pak @prabowo plisssss pak jangan dengan Gibran Pak, ini strategi lawan untuk bikin bapak kalah lagi, dan yg menang ganjar mahfud, plisssss dengarkan suara rakyat pak"
99,"Pak maaf, aku gajadi milih Bapak dulu untuk kali ini 🙏🏻"
100,Pa saya mohon jgn sama giban jdi blunder yang ada pa. Msh bnyak yang layak jdi cawaprres plis jgn sama gibran pa. Saya gk mau bapa kalah lgi
101,DARI PADA GIBRAN CAWAPRES BAPAK MENDING PROF YUSRIL PENGALAMANNYA G KALAH DENGAN MAHFUD MD
102,"prabowo yes, gibran no"
103,Ridwan Kamil
104,"Kalo cawapresnya Gibran sih, bakalan banyak hilang suara 😂"
105,"Jika prabowo gibran, otomatis yang akan masuk putaran ke dua pasanagan Anis dan ganjar. Tinggal di satuin aja suara prabowo ke ganjar, kalau analisa gua sih gini😂 atau dibalik suara ganjar akan di alihkan ke prabowo, jadi intinya 1 kubu dipecah jadi 2, untuk bettarung lawan kubu nasdem. Tandain nih wkwkw"
106,jangan gibran uwowo 🥹 Yusril atau Ridwan Kamil aja
107,"Debat berkualitas jika Prabowo - Yusril vs Ganjar - Mahfud.

PRABOWO - YUSRIL 🔥🔥"
108,"Pls jgn gibran, apaan si"
109,Admin Kresbung gamau diundang pak? Biar tenar sikit pak susah naikin followers page nya
110,Skip kalo wapresnya gibran pak
111,"Jangan Gibran pak, auto loss @prabowo"
112,"Blunder nih, gak salah ambil keputusan buat wapresnya pak?"
113,"pak erick tohir / yusril ihza mahendra aja pak 😢🙏🏻 inshaAllah saya pilih bapak, jangan gibran pak!!!! gibran buat kapan2 aja biar belajar dulu dia 🙌"
114,Siappn Wakil nya presidenya tetap pak prbwo ..
115,Apapun keputusan bapak saya tetap memilih bapak 🙏
116,Prabowo presiden
117,Lebih baik Pak Erick Tohir yg jd cawapres nya Pak Prabowo. Mau menang kali ini? Jgn Gibran cawapres nya krn sudah banyak orang kena doktrin kebencian terhadap Pak Jokowi dan keluarga
118,Pak probowo please baca komen!!!!! @prabowo
119,"tolong sisihkan waktu untuk mebaca komentar pak @prabowo dan coba direnungi, pendukung bpk sangat mengharapkan sikap bapa tentang bijak memilih wapres"
120,"Ass..bapak ku sayang,aku dari dulu sukah bnget sama bapak,yg tadi nya semangat pengen 2024 bapak jadi presiden.tapi pas tau bapak sama gibran,saya kecewa bnget pak,kalau bisa jngn gibran ya pak jadi wapres"
121,"Pak @prabowo jangan patahkan hati Kami, setiap pemilihan saya dukung Bapak, tapi tahun ini kalau tetap masih kekeh memilih Mas Gibran saya menyerah Pak😢😢"
122,Tombol prabowo Jefri 🔥😂
123,"tolong pak jangan ambil langkah yang salah, kami anak muda sudah all in ke bapak semua, tolong bapak jangan sampai salah pilih pasangan"
124,@qirqiro udah update belum? Tuhh Gibran diusung Golkar.. Jgn naif
