slang,formal
kl,kalo
woww,wow
aminn,amin
met,selamat
netaas,menetas
keberpa,keberapa
eeeehhhh,eh
kata2nyaaa,kata-katanya
hallo,halo
kaka,kakak
ka,kak
daah,dah
aaaaahhhh,ah
yaa,ya
smga,semoga
slalu,selalu
amiin,amin
kk,kakak
trus,terus
kk,kakak
sii,sih
nyenengin,menyenangkan
bgt,banget
gemess,gemas
akuuu,aku
jgn,jangan
yaa,ya
udah,sudah
gitu,begitu
aja,saja
gemesiin,menggemaskan
menyenangkn,menyenangkan
rb,ribu
akau,aku
saranin,menyarankan
nemuin,menemukan
yah,ya
met,selamat
mnis2nya,manis-manisnya
gtu,begitu
tu,itu
idolaa,idola
bangett,banget
kaakk,kak
baaiikkk,baik
telaatt,telat
kaak,kak
yg,yang
lg,lagi
skarang,sekarang
yg,yang
sempet,sempat
karna,karena
ngga,tidak
karna,karena
mantep,mantap
loohhh,loh
yeee,ya
baguuuuus,bagus
sampe,sampai
ngikutin,mengikuti
gayany,gayanya
ngikutin,mengikuti
lg,lagi
bnk,bang
awaas,awas
siip,sip
abizzzz,habis
kerrrrennnn,keren
sayaa,saya
pengen,pengin
kpan,kapan
bgt,banget
sma,sama
sdkit,sedikit
bngt,banget
lgu,lagu
bener2,benar-benar
kharismanya,karismanya
aq,aku
yg,yang
jdi,jadi
lgi,lagi
gk,tidak
kek,kayak
lgunya,lagunya
kpan,kapan
kereeeeennnn,keren
nyamain,menyamakan
slalu,selalu
lakik,laki
siippp,sip
bkn,bukan
nyangka,menyangka
bangettt,banget
kereeen,keren
wihhhhhh,wih
tp,tapi
inget,ingat
bingitsss,banget
dmn,dimana
bird,biru
kaloo,kalo
gimna,bagaimana
tuuh,tuh
nyebur,mencebur
yng,yang
dbuat,dibuat
kn,kan
org,orang
pingin,pengin
bgt,banget
tu,itu
bangcat,bangsat
yha,ya
waoohhh,wah
pngn,pengin
tmpt,tempat
dhe,deh
indahhh,indah
bgttt,banget
tuhh,tuh
berarto,berarti
ga,tidak
aminn,amin
aamiin,amin
amiiinn,amin
dgn,dengan
aminnnn2,amin-amin
amiin,amin
aamiin,amin
amiiiin,amin
amiin,amin
aminnn,amin
amiend,amien
yaaa,ya
ameen,amin
aminnnn,amin
amiiinnn,amin
kek,kayak
ngomong,mengomong
inget,ingat
mamer,memamerkan
keles,kali
jelase,jelas
liat,lihat
uwakk,uwak
ntar,entar
bs,bisa
gini,begini
jgn,jangan
sampe,sampai
aq,aku
salfok,salah fokus
njir,anjir
piiink,pink
astgfrullah,astagfirullah
ko,kok
cd,celana dalam
gbs,tidak bisa
bhs,bahasa
yaaaaaa,ya
gak,tidak
bangshad,bangsat
yaa,ya
stagahhhh,astaga
kpn,kapan
iooo,lo
dy,dia
d,ada
mslh,masalah
qt,kita
jdi,jadi
plampiasannn,pelampiasan
masalahh,masalah
tohh,toh
inghinn,ingin
dhi,di
mengherthii,mengerti
yanckh,yang
chelalyyu,selalu
therchakitty,tersakiti
mauuuuu,mau
kaliii,kali
bangat,banget
bkin,bikin
dongg,dong
yokkk,yuk
gini,begini
yu,yuk
sweger,segar
kereeen,keren
gantengg,ganteng
bingiit,banget
gak,tidak
kebukaaa,terbuka
tpi,tapi
keliatan,kelihatan
yakk,ya
kayakk,kayak
asliii,asli
kyk,kayak
cntiknya,cantiknya
bat,banget
ga,tidak
ngeliatnya,melihatnya
sll,selalu
bet,banget
njerr,anjir
bingiiittttzzzz,banget
bgt,banget
k,kak
klo,kalo
lg,lagi
dooong,dong
masi,masih
gni,begini
kek,kayak
gini,begini
aja,saja
udah,sudah
hdk,hendak
yg,yang
jugaa,juga
mksud,maksud
aj,saja
tetep,tetap
tp,tapi
mbakx,mbaknya
syantik,cantik
syantik,cantik
kite,kita
pa,apa
mksd,maksud
bejilbbnya,berjilbabnya
masio,masih
yahhh,ya
makasih,terima kasih
leh,boleh
ugaaa,juga
yah,ya
jerewi,jerawat
ilang,hilang
jilbabnyaah,jilbabnya
kek,kayak
yuuuk,yuk
warnaaa,warna
punyaaa,punya
cantiik,cantik
sukaaak,suka
kebayanyaa,kebayanya
mantes,memantas
merekaaaa,mereka
jugaaa,juga
gilaaaa,gila
tiga2nya,tiga-tiganya
lucuu,lucu
emessss,gemas
ucullllll,lucu
jdi,jadi
males,malas
bangeettt,banget
gemesshh,gemas
ngomong,mengomong
apaaa,apa
ampuunn,ampun
pengen,pengin
ciuuuummmm,cium
mbil,sambil
ngmng,mengomong
ngemeng,mengomong
epe,apa
seehh,sih
yank,sayang
ucul,lucu
yahh,ya
kek,kayak
gw,gue
lucuu,lucu
ngakak,mengakak
astagfirrullah,astagfirullah
bkn,bukan
tpi,tapi
suerrr,suer
gk,tidak
mnta,minta
lg,lagi
syg,sayang
ntik,cantik
pny,punya
dapet,dapat
kek,kayak
gini,begini
suru,suruh
lucuuuu,lucu
ketawakkkk,ketawa
kyanya,kayanya
bnget,banget
nakutin,menakutkan
malingg,maling
cocokk,cocok
niihh,nih
imutttttt,imut
satuuuuu,satu
sesekk,sesak
nafass,nafas
bgtt,banget
cintaaaaaaa,cinta
lucuk,lucu
lucuk,lucu
ma,sama
duluu,dulu
megang,memegang
ngakak,mengakak
kawinin,mengawini
liatin,memperlihatkan
ny,nya
d,di
bdan,badan
nyaaa,nya
gemesin,menggemaskan
daah,dah
fotoin,memfoto
ngaku,mengaku
kaaa,kak
ganteng2,ganteng-ganteng
pcarny,pacarnya
kri,kiri
knpa,kenapa
pda,pada
cmn,cuman
gara2,gara-gara
garuk2,garuk-garuk
tembokk,tembok
namax,namanya
kiriii,kiri
kyk,kayak
bungkusin,bungkuskan
atu,satu
dehhhh,deh
dongg,dong
kakk,kak
ngegantiin,menggantikan
alloh,allah
smpe,sampai
msh,masih
trsa,terasa
khadirannya,kehadirannya
fikiran,pikiran
hayalanku,khayalanku
bru,baru
nton,nonton
jdi,jadi
ngapain,mengapai
yaa,ya
surgaa,surga
kangenn,kangen
kgn,kangen
kakkkkk,kak
rinduuuuuuuuu,rindu
ninggalin,meninggalkan
smg,semoga
terangkhn,terangkan
bgtttt,banget
knp,kenapa
tuk,untuk
slama,selama
orng,orang
bngunlah,bangunlah
k,kak
bngun,bangun
ea,ya
qu,ku
hiri,hari
klo,kalo
"teman""ny",teman-temannya
gtu,begitu
aza,saja
dr,dari
"teman""ny",teman-temannya
ny,nya
alm,almarhum
skrg,sekarang
knpa,kenapa
sie,sih
benet,benar
bangetttt,banget
tuu,tuh
skrang,sekarang
gda,tidak ada
trus,terus
gantiin,menggantikan
sma,sama
jdi,jadi
gak,tidak
kta,kata
kklau,kalo
d,di
acra,acara
gk,tidak
sma,sama
kasian,kasihan
bangett,banget
yaaa ,ya
bnerr,benar
emk,emak
temenn,teman
pngenn,pengin
terkenall,terkenal
ajhh,saja
gk,tidak
sungguh2,sungguh-sungguh
mnjadi,menjadi
shbt,sahabat
k,kak
bner,benar
bgt,banget
ktny,katanya
shbt,sahabat
skrg,sekarang
pda,pada
dimusiumin,dimuseumkan
ga,tidak
bntu,bantu
pda,pada
dlu,dulu
klo,kalo
gda,tidak ada
pda,pada
udh,sudah
pda,pada
kangem,kangen
amiiin,amin
smua,semua
slmt,selamat
jln,jalan
"mudh""an",mudah-mudahan
tenny,tenang
d,di
sdh,sudah
yg,yang
tnya,tanya
blm,belum
td,tadi
sblm,sebelum
yah,ya
bole,boleh
lahhh,lah
tp,tapi
blm,belum
dapet,dapat
maap,maaf
gk,tidak
cm,cuma
syg,sayang
kmrn,kemarin
wkt,waktu
d,di
ama,sama
ak,aku
lht,lihat
biasa2,biasa-biasa
mnrtkuu,menurutku
