,,Name,"Profile ID",Date,Likes,Comment,"Comment ID","Profile URL","Comment URL"
1,,rwereva,55487948210,"2023-10-30 17:04:34",0,"@robimangekyou males prabowo takut bgt kalah lagi mangkanya si ono jd cawapres pdhl kalo tanpa si itu jg bakal menang😂",18012954271823298,https://www.instagram.com/rwereva/,https://www.instagram.com/p/CyhjkzZI1S5/c/18012954271823298
2,,rwereva,55487948210,"2023-10-30 17:04:57",0,"prabowo sm ganjar jd rakyat😂😂😂😂",17883331241953262,https://www.instagram.com/rwereva/,https://www.instagram.com/p/CyhjkzZI1S5/c/17883331241953262
3,,rwereva,55487948210,"2023-10-30 17:06:21",0,"@desty.18 iya wkwkkw joget2 kayak bencong😂😂😂",18013859728802508,https://www.instagram.com/rwereva/,https://www.instagram.com/p/CyhjkzZI1S5/c/18013859728802508
4,,zxcqwr.26,6426825636,"2023-10-30 17:19:12",0,"Wkwkwkwk numpang nanya dulu dp 0 rp kemana y",17907837074847145,https://www.instagram.com/zxcqwr.26/,https://www.instagram.com/p/CyhjkzZI1S5/c/17907837074847145
5,,yoga_agoy12,36367069793,"2023-10-30 17:25:54",0,"@choki_aif busyettt jauh amat om 🤣 noh yg d dpan mata saudara2 di papua tiap hari ada pertumpahan darah, tau gak? Ya gak lah😂",17885152712952529,https://www.instagram.com/yoga_agoy12/,https://www.instagram.com/p/CyhjkzZI1S5/c/17885152712952529
6,,yoga_agoy12,36367069793,"2023-10-30 17:26:30",0,"@choki_aif lu mau Indonesia ilang dari peta apa gimana 🤣🤣🤣",17992828940346314,https://www.instagram.com/yoga_agoy12/,https://www.instagram.com/p/CyhjkzZI1S5/c/17992828940346314
7,,rifaarf_,1203309491,"2023-10-30 17:31:02",0,"mohon ijin bapak, honor diindonesia banyak pak. lumayan suaranya, klo bapak jd presiden janji aja tidak menghapus honor, atau bisa menaikan drajat mereka sebagai PNS atau PPPK pasti suara byk naik sekian puluh %, atau klo tidak bisa jd pns/pppk paling tidak , tidak jadi menghapuskan honor trs di pertahankan aja pasti naik pak, kasian pak honor, mereka mengabdi untuk negara, mereka yg membesarkan anak dr menjadi honor, lalu pekerjaan mereka dirampas bgtu saya apakah tidak jadi menambah pengangguran di indonesia pak? tolong si baca pak, kami hanya ingin kejelasan paling tidak tetap di pertahankan karena sejelek apapun kami, kami bekerja untuk negara",18015367156908053,https://www.instagram.com/rifaarf_/,https://www.instagram.com/p/CyhjkzZI1S5/c/18015367156908053
8,,ahmadkiki2022,52157774203,"2023-10-30 17:47:46",0,"Pak saya dari Medan hanya seorang supir ,saya titip negeri ini ya pak untuk anak cucu dimasa depan buat yg terbaik untuk negeri Indonesia,saya percaya bapak Anies Rasyid Baswedan orang baik saya dukung bapak secara sukarela dan tanpa syarat yg saya butuh kan kesetaraan dan keadilan hadir untuk rakyat indonesia ,terima kasih pak🥰🥰🥰🥰",18006803729038038,https://www.instagram.com/ahmadkiki2022/,https://www.instagram.com/p/CyhjkzZI1S5/c/18006803729038038
9,,rrriiiii14,1906478194,"2023-10-31 11:42:58",0,"Gimana saya yg rakyat jelata, hormatnya jendral ajah ga dihiraukan #miris",18024938677739656,https://www.instagram.com/rrriiiii14/,https://www.instagram.com/p/CyhjkzZI1S5/c/18024938677739656
10,,haidar661_,50716261801,"2023-10-31 13:08:08",0,"Pak kapan ke jambi pak #jambi",17878226240974868,https://www.instagram.com/haidar661_/,https://www.instagram.com/p/CyhjkzZI1S5/c/17878226240974868
11,,oplayrasya,45662238695,"2023-10-31 13:25:25",0,"TOLONG PA ANIS DI TENGOKIN PARA PEKERJA SWASTA DAN NEGRI YANG PARA PEKERJANYA DI MITRA KAN ,",18113572156334565,https://www.instagram.com/oplayrasya/,https://www.instagram.com/p/CyhjkzZI1S5/c/18113572156334565
12,,putri_chairany,4185800311,"2023-10-31 13:46:35",0,"Pak tolong pendukungnya spam comment terus  di post Pak Prabowo.. Dan mohon untuk kampanye yang tidak menyebar kebencian.. Mari hiasi PilPres kali ini dengan vibe positif, demi mental health bangsa kita.. Terimakasih. 🙏",17877863450973210,https://www.instagram.com/putri_chairany/,https://www.instagram.com/p/CyhjkzZI1S5/c/17877863450973210
13,,yohanesbrein_,2370277816,"2023-10-31 13:56:15",0,"all in prabowo",18007815956038555,https://www.instagram.com/yohanesbrein_/,https://www.instagram.com/p/CyhjkzZI1S5/c/18007815956038555
14,,iksan_fossillapidary,7538328683,"2023-10-31 14:48:55",0,"Biasanya yang menang yg slalu disalahkan dan disudutkan. Yakin saya Prabowo Gibran kali ini menamg",17998953059057563,https://www.instagram.com/iksan_fossillapidary/,https://www.instagram.com/p/CyhjkzZI1S5/c/17998953059057563
15,,lafzupahlevi,1271071200,"2023-10-31 14:50:33",0,33,18000697736487822,https://www.instagram.com/lafzupahlevi/,https://www.instagram.com/p/CyhjkzZI1S5/c/18000697736487822
16,,lafzupahlevi,1271071200,"2023-10-31 14:51:40",0,Prabowo,18001770032481522,https://www.instagram.com/lafzupahlevi/,https://www.instagram.com/p/CyhjkzZI1S5/c/18001770032481522
