comments,label
"['bismillah', 'tolong', 'gandeng']",0.0
"['lumayan', 'lawa', 'pilpres']",0.0
"['ingat', 'mbak', 'yenny', 'gus', 'dur', 'guru', 'politik', 'palah', 'kudeta', 'rakyat']",0.0
"['hanya', 'pecah', 'suara', 'saja', 'sayang', 'jadi', 'alternatif', 'pilih']",0.0
"['kuasa', 'dukung', 'saja', 'deh', 'salah', 'pilih', 'wakil']",0.0
"['sudah', 'menang', 'banyak', 'tingkah', 'saja', 'sudah', 'tua']",0.0
"['kacau', 'kacau', 'iki', 'manuver', 'mulus', 'wapres', 'dompleng', 'demokrat', 'solid', 'kpp', 'ya', 'selamat', 'saja', 'selnjutnya', 'tunggu']",0.0
"['pilih', 'drama', 'belum', 'tahu', 'pilih', 'tunggi', 'jelang', 'pilpres', 'saja']",0.0
"['mulut', 'manis']",0.0
"['kasihan', 'sekali', 'pilih', 'beliau', 'deh', 'tuju', 'wakil']",0.0
['wayae'],1.0
"['belum', 'tahu', 'pilih', 'tau', 'pilih']",0.0
"['ambisi', 'batas']",1.0
"['kadrun', 'kecewa']",0.0
"['cocok', 'duet', 'badut', 'wak', 'wan', 'abud', 'depak', 'mayor', 'karbitan']",0.0
"['guru', 'saja', 'khianat', 'rekan', 'cocok']",0.0
"['penuh', 'komedi']",0.0
"['deklarasi', 'tukang', 'tikung']",0.0
"['sudah pasti', 'kalah']",0.0
"['mantan', 'napi']",0.0
"['almarhum', 'gusdur', 'saja', 'khianat', 'rakyat', 'puncak', 'komedi']",0.0
['dukung'],1.0
"['wan', 'abud', 'tugas', 'partai', 'bewok']",0.0
['pilih'],0.0
"['calon presiden', 'calon wakil presiden', 'pintar', 'bohong', 'prestasi', 'indonesia', 'maju', 'kembang']",0.0
"['pasang', 'manusia', 'gila', 'jabat']",0.0
"['taktik', 'konsultan', 'politik', 'untuk', 'habis', 'kang', 'paksa', 'surya', 'paloh', 'untuk', 'terima', 'kang', 'wapres', 'syarat', 'menteri', 'nasdem', 'lebar', 'mana']",0.0
"['dki', 'jakarta', 'demokrat', 'saja', 'khianat', 'rakyat', 'indonesia']",0.0
"['minum', 'pilih', 'cap', 'badak', 'presiden', 'pilih', 'cap', 'banteng']",0.0
"['model', 'mimpin', 'rakyat', 'indonesia', 'remukk']",0.0
"['pidato', 'surabaya', 'deklarasi', 'bilang', 'bekas', 'tilpun', 'kumpul', 'elita', 'nasdem', 'temu', 'kalo', 'besuk', 'deklarasi', 'berita', 'koalisi', 'hitung', 'menit', 'dadak', 'wayang', 'surya', 'paloh']",0.0
"['golput', 'kumpul']",0.0
"['umat', 'loyal', 'partai', 'ketua', 'yen', 'guru', 'kudeta', 'rakyat', 'musang', 'bulu', 'kardus', 'bentuk', 'nyungsepnya', 'terang', 'benderang', 'sekian', 'terima', 'gajih']",0.0
[],0.0
"['janji', 'kampanye', 'presiden', 'bahan bakar minyak', 'fakta', 'henti', 'impor', 'pangan', 'fakta', 'impor', 'dollar', 'ribu', 'fakta', 'zonk', 'cipta', 'juta', 'lapang', 'kerja', 'fakta', 'phk', 'hutang', 'fakta', 'hutang', 'roket', 'cipta', 'kartu', 'sembako', 'murah', 'fakta', 'bohong', 'ekonomi', 'roket', 'fakta', 'hutang', 'roket', 'kartu', 'pintar', 'kulia', 'gratis', 'janji', 'janji', 'sebut', 'satu', 'kerja']",0.0
"['tombol', 'manis', 'mulut', 'saja']",0.0
"['orang', 'kalo', 'sudah', 'haus', 'kuasa', 'partner', 'sama', 'ideologi', 'ngaruh', 'padahal', 'akar', 'rumput', 'tuju', 'jalan', 'mdhan']",0.0
"['bismillah', 'amin', 'negeri', 'dengab', 'ubah', 'satu']",0.0
"['mari', 'teman', 'dukung', 'doa', 'calon presiden', 'abadi', 'indonesia']",1.0
"['surabaya', 'khianat', 'jas', 'merah', 'deklarasi', 'calon wakil presiden', 'hidayat', 'nur', 'dekat', 'tutup', 'daftar', 'pilih', 'budiono', 'calon wakil presiden', 'jas', 'merah']",0.0
"['saya', 'juga', 'senang', 'ubah', 'pilih']",1.0
"['sadar', 'bang', 'brewok', 'hancur', 'cita', 'cita', 'presiden']",0.0
"['pndukung', 'dari', 'khusus', 'untuk', 'kecewa', 'maju', 'sama', 'nasdem', 'punya', 'pndukung', 'oligarki', 'bwah', 'untuk', 'masih', 'wait', 'sih', 'aman', 'tunggu', 'komando', 'ulama', 'lurus', 'saja', 'punya', 'jejak', 'bagus', 'slma', 'pcuma', 'juga', 'pasang', 'untuk', 'sudah', 'cocok', 'mnurut', 'nama', 'harum', 'klngan', 'msyrkt', 'melayu', 'sambas', 'sayang']",0.0
"['tuhan', 'senang', 'kalah']",0.0
