comments,label
pak ganjar,1
ga mud ganjar mahfud,1
the nextt presidenn ganjar mahfud gafud,1
tombol anies presiden,1
the next our president,1
the next ri,1

bismillah yang lebih baik untuk indonesia aamiin ya allah,1
the best pokoknya,1
presiden kamu berikutnya,1
team bayaran gak disebut pak,0
menang putaran aamiin,1
persatuan penjual sate madura se indonesia pro presiden ganjar pranowo dan wapres mahfud md merdeka,1
baju kok hitam sih pak warna hitam itu warna negatif pak mahfud baju putih hrs pak ganjar baju warna merah merah putih,0
bismillah ganjar mahfud menang satu putaran,1
kalau pidato selalu keren deh bapak ganjar,1
bismillah ganjar mahfud memulai dengan baik hasilnya pasti baik,1
mantap asli orang indonesia bukan keturunan arab dan cina,1
amin semoga ya pak menjadi awal yg baik dan lancar,1
bismillah ganjar menang presiden,1
alhamdulillah ganjar mahfud sudah mendaftar smua pendukung antusia sekali,1
tdk penting ji tetap anies presiden,1
visi misi program jelas digitalisasi libatkan peran generasi muda reformasi hukum bersama pakar prof mahfud yg teruji ekonomi hijau biru anti korupsi yg sdh dibuktikan ganjar di pemda jateng mendata lbh baik fakir miskin diseluruh pelosok jelas lugas realistis paslon lain masih ngambang,0
amin,1
soolliidd,1
k,1
the next president amin,1
gama,1
inshaa allah the indonesian gold young generation smart president aniesbaswedan religius dan nasionalist,1
insya alloh ri pasangan ganjar mahfud,1
prabowo presiden,1
semoga pak ganjar next presiden,1
ganjar terbaik,1
gofud insyaallah ri,1
bismillah ganjar mahfud memenang kan pilpres,1
mantap ganjar mahfud bersatu buat maju,1
semangat pak ganjar semoga selalu amanah ya pak jika terpilih nanti,1
wah rame banget ya banyak yg cinta sama pak ganjar,1
semangat pak ganjar mahfud semoga menang,1
sehat selalu pak semoga dukungan yg datang semakin banyak,1
maju terus bapak ganjar pranowo mahfud md,1
pasangan paling ideal menurutku karena mereka mempunyai rekam jejak yang sangat bagus saya sangat bertaruh harapan pada mereka,1
sehat selalu nggih bapak perjuangan kalian baru akan di mulai,1
