comments,label
"Bismillah Pak Prabowo, plisss gandeng Pak Mahfud MD 😢😢👏👏",0.0
Lumayan buat lawakan pilpres nih 😂,0.0
"Inget kata2 Mbak Yenny Wahid, Gus Dur yang di katakan oleh dia Adalah Guru Politik nya palah di Kudeta ,apa lagi Rakyat😂😂",0.0
Ternyata anis cuman buat pemecah suara aja 🤣😅..sayang sekali gk bisa dijadikan alternatif pilihan,0.0
"Bagaimana kalau sudah menjadi penguasa! Dukung prabowo aja deh kalau begitu, anies baswedan salah pilih wakil 😂",0.0
"Udhlah gak bakal menang,bnyak tingkah aja udh tua😂",0.0
"Wkwk..wah kacau kacau iki😂😂😂😂manuver PKB demi memuluskan cak imin jd Wapres bisa mendompleng demokrat yg sudah solid dr awal dg kpp,yah selamat aja buat mereka2,selnjutnya tunggu dari prabowo dan ganjar ini",0.0
Sebelumnya saya pilih anies tp setelah drama ini saya blm tau milih siap tunggi menjelang pilpres aja,0.0
Si mulut manis 😂😂😂,0.0
Kasian banget AB..tadinya mau memilih beliau..tp ga jadi deh..tdk setuju dgn wakilnya,0.0
Wayae pak Prabowo 👍,1.0
"Blm tau bakal pilih siapa, yg kutau TIDAK AKAN PILIH ANIS",0.0
Ambisi tanpa batas,1.0
KADRUN KECEWA🤣,0.0
"Klop duet badut wak imin- wan abud, depak ahy si mayor karbitan wkwkwk🤣🤣🤣🤣",0.0
Guru nya aja d khianati ujar siapa itu rekan² ya cocok² lah mereka 😂😂😂,0.0
2024 penuh komedi,0.0
Deklarasi sesama tukang tikung 😂,0.0
Prabowo - Ganjar 2024,0.0
Fix kalah 😂,0.0
Cak Imin mantan napi itu bukan si?,0.0
Imin.. Imin... Alm. Gusdur aja dikhianati. Apalagi rakyat... Benar2 puncak komedi 😂,0.0
SAYA SANGAT MENDUKUNG PAK ANIES BASWEDAN UNTUK 2024🔥🔥🔥🔥🔥,1.0
Ternyata wan Abud petugas partainya bewok😂,0.0
Aku NU tapi gak milih Anis😂,0.0
Capres dan cawapres pinter ngibul dan ga ada prestasi... Indonesia semakin maju dan berkembang😂,0.0
Dua pasang manusia yg gila jabatan,0.0
Taktik konsultan politik Jokowi tuk menghabisi kang Anis dg memaksa Surya Paloh tuk menerima kang Imin jadi wapres nya😬🤭... tentunya dg syarat kasus menteri dr Nasdem TIDAK melebar kemana-mana 🤭,0.0
"DKI Jakarta dan Demokrat aja di khianati, apalagi rakyat Indonesia 😂",0.0
