,0
0,Br 2 thn sbg walkot sdh berani maju sbg org no.2 di RI smg tdk kecewa dng keputusan yg diambil
1,Kasian Pak Prabowo
2,Fix.. Ganjar+Mahmud
3,Kolaborasi Generasi 👏
4,kalah lagi 😂
5,Apakah karena kalau usia pak Prabowo di tambah usia Gibran di bagi 2 maka akan mendekati hasil usia (capres + cawapres)÷2 lainnya?
6,"Bagus deh, pemuja prabowo yg sangat benci jkw  pada kebingungan. Gimana bisa idola mereka meminang anak dr orang yg dibenci 😂... selamat galau. Mending kalian pada pindah ke Ganjar Mahfud! Masuk akal"
7,Kenapa Ga Prabowo - Rocky Gerung
8,Indonesia bagian timor 100 persen buat Gibran. ❤️
9,Blunder. Angin segar buat lawan.
10,blunder terparah abad ini
11,"Colab yang pas, sudah saat nya kaum muda naik kasta"
12,Shame on u Gibran... jalur menuju kekuasaan yg anda ambil sangatlah jauh dr kata beradab ... parah !!! Kualitas anda ga jauh dr tahu bulat yg di goreng dadakan !!!
13,kalah maning
14,Selamat pak prabowo .. kita bersatu memmenangkan prabowo dan gibran
15,"👏Berarti Erick Thohir TETAP jadi KETUM PSSI🇮🇩,"
16,"Mau Prabowo mau anies, yg penting ga banteng🔥"
17,The real konoha
18,Tetep semangat dukung Ganjar nd Mahfud …😍
19,Semoga Allah memenangkan Pak Ganjar Mahfud menang pilpres 2024  satu putaran aamiin Ya Robb
20,"Tetep Ganjar-Mahfud ❤️ Ga akan mau milih cawapres yg belum mateng,untuk wapres kok coba2 🤣😅"
21,"Politik dari dulu memang gendeng,tp kali ini yg paling gendeng 😂"
22,"Alhamdulillah Mas Ganjar, kita lebih mudah bisa menang 1 putaran. YESS👏👏👏"
23,wkkwkwk doi ga bakal bisa jd cawapres klo bukan karna pamannya ada di MK🤣🤣
24,Blunder. Jangan lupa pilih #ganjarmahfud2024
25,Saya tetap yakin pak Ganjar akan menang
26,Blunder.... menguntungkan Anis... ga sulit2 lagi
27,Duh kalah lagi pak 🙃 salah milih cawapres
28,Tombol AMIN Aja dulu 👉👉👉👉
29,"Enak banget nih putra mahkota, langsung dibukain jalan sama bapaknya lewat om nya di MK. Enak banget ya punya previlege bisa ngakalin konstitusi"
30,Otw kalah 3x nih😂😂 udah pilih ganjar atau anies  aja gpp asal jangan prabowo cuma bisa jualan  nama jokowi😂😂
31,Pemikiran ank muda tdk kalah hebat dengan pemikiran orang tua tombol ready aja dlu👉👉👉
32,Maafkan saya pak Prabowo tadinya saya mau pilih bapak jd calon RI 2024. Namun apa daya hati saya langsung MENOLAK keras saat liat postingan ini.😢
33,"""Pak Jokowi itu kayak gitu lho, mentang-mentang. Lah iya, padahal Pak Jokowi kalau enggak ada PDI Perjuangan juga, aduh, kasihan dah,"" kata2 ini tidak beretika dan tidak menjaga marwah kepala negara😂😂 Yuk Pilih Presiden Yang kedepan tidak dilecehkan oleh ketum yang merasa paling punya kuasa sebab presiden itu dipilih oleh mayoritas penduduk Indonesia yang siapapun wajib menghormatinya. 😂😂"
34,Prabowo.... Blunder!!! Gk belajar dr pengalaman...... Masa mao jd peserta capres mlu tiap pemilu.
35,"GK jadi dukung Prabowo,saya sekeluarga jadi dukung AMIN .."
36,sebenernya ya lebih srek AHY dan berharap beliau yg bisa jadi pendamping Pak Prabowo. Selain pengalaman AHY yang sudah dirasa cukup dan kekompetenan beliau cocok mengisi posisi wakil presiden. tapi ntah kenapa tidak dilirik.
37,kalah 3x didepan mata…. kasihan dagelan
38,"Padahal awalnya rispek sama mas Gibran, one day kalo dia nyapres pun (pada waktu yg tepat) mungkin akan punya banyak massa juga. Tp ternyata beliau lebih memilih nyalon jalur cepat dan penuh “kegaduhan” sprt ini. So yaah good luck deh w golput ajahhh 🙃"
39,"“Yang muda yang berkarya, karena bapak aku berkuasa”

Hidup MK!!!!🔥🔥🔥"
40,"Terlepas dari banyak kontroversi, tapi dinamika politik sekarang lebih seru sih dari sebelumnya, banyak plot twistnya. Siapapun capresnya, apapun pilihannya, smg kita sbg masyarakat tidak terpecah belah dan fokus pada kemajuan Bangsa❤️"
