comments,label
Lihatlah rekam jejak.😂,0.0
"Almarhum ibu saya dirawat di ICU hampir satu bulan, tanpa biaya sedikitpun alias gratis pake BPJS.",1.0
Anies membual!!,0.0
Ini sepertinya dia tidak mengetahui situasi kesehatan selama ini …dia tidak mengenal BPJS sepertinya….asal bicara tanpa mengenal fakta….,0.0
Ah omdo ...saat jd gub apa hasilnya tuk kshtn warga DKI???cuman ganti nm rmh sakit jd rmh sehat aza..org2 ny tetap sakit g jd sehat tetap ssh pelayananny..yg jls dl zaman gub Foke jls nyata berlaku berobat gratisnya klo warga DKI,0.0
"Agan agan percayalah, bakal calon presiden semua, itu cm pidato kampanye.. kalau Sdh jadi same aje.. 😂",0.0
"Lahh di JKT gak beres2x tuh pak jaman bapak menjabat. Biaya kesehatan dan pendidikan jaman gub sebelumnya besar dan masy. Merasakan. Lah jaman bapak malah mengalami penurunan, puskesmas 1 pun blom terbangun selama 5 taon, sekarang demi nyapres bicara kesehatan seolah2x anda peduli dgn masy. Padahal hanya utk kepentingan politik. Hahahaha salam waras pak",0.0
Alhamdulillah pake BPJS gak bikin miskin,1.0
Anak saya patah tulang corvikulla alhamdulillah biyaya pengobatan geratis tis karena saya pakai bpjs dan rutin bayar kewajiban saya. Pelayanan bagus dan ramaah,1.0
Alhamdulillah sembuh dengan Rp 0 selama 21 hari perawatan di RSCM.,1.0
Harus ganti semua jadi Rumah Sehat ya ? 😂😂😂,0.0
👏lah ngomong doang loh gampang udah menjabat semuanya lupa,0.0
MANTAPP PAK ANIESSSS👏👏👏👏❤️❤️❤️❤️,1.0
"Lah dulu jadi gubernur kok diem² bae,ini mau calonan aja koar²....",0.0
"Allhamdulilah istri saya melahirkan di oprasi sesar pake BPJS tidak keluar duit sama sekali di RS, dan pelayanan juga bagus dan ramah ramah dokter n susternya..",0.0
"Duh....padahal Bpjs sekarang sudah bagus,  kritik mulu pdhl beliau mimpin Jkt kacau.",0.0
Bang Anies Aneh . Semua pakai BPJS  orang Kya aja pada pakai BPJS  data ngarang piye orang SPT ini pengin jadi  presiden  harus yg di kritik antrian BPJS terlalu lama,0.0
"Kampung saya termasuk pelosok,,tapi jujur kemaren bawa ibu berobat ke RSUD gratis koq,,, BPJS yang biayai",1.0
Hahaha halu lu wan .. sejak BPJS aktif rakyat kecil banyak yg tertolong .. elu kemana aja ??? Tidur ?? 🤣🤣🤣,0.0
"Di Surabaya yg gak mampu malah gratis ... tambah miskin darimana Nies ... Kamu ngomong Asbun ajah .. Menebar kebohongan. BPJS jelas byk manfaatnya, berobat Gratis juga",0.0
"Karena menurut Anis. Pulang dari rumah sakit, pasiennya jadi kaya...hahaha...logika koplak..!!",0.0
"DP 0 Rp yg cuma di daerah saja gagal, apalagi kesehatan kelas nasional.. dah lah pak.. ga sanggup ente",0.0
Puskesmas di dki kenapa tidak dibangun pak ? Jaman bapak jadi Gubernur hanya 1 Puskesmas yg dibangun. Khan kasian masyakat pak.,0.0
Ada bpjs drun ibu mertua ku habis operasi gratis karena ada bpjs ini capres nasdem ngawur klu ngomong gx jelas,0.0
Hadehhh basi nih program nya 🤣😂 Nasdem cuman buang2 duit aja mencalonkan si kawan ini.,0.0
"Kebayang kalo orang ini berkuasa, rumah sakit berganti jadi rumah sehat🥲, Sodara aku gagal jantung sampai operasi gratis karena ada BPJS kebayang kalo gak ada mungkin rumah dijual untuk berobat yg penting bayar angsurannya pasti aman",0.0
Ada pasien di ICU rumah sakit kami habis sekitar  250 JT Alhamdulillah BPJS  dan Gratissss.....,1.0
"Pak Anis yg terhormat.., narasi Anda ttg kesehatan sangat menyedihkan. Kmarin sya operasi  batu ginjal pake BPJS aman lancar jaya pak. Pelayanan kesehatan udah semakin bagus.",0.0
"ANIES PRESIDEN 🇮🇩 KLIK TOMBOL 👉⁣
⁣
Pak Anies capres yg sangat dicintai seluruh Rakyat Indonesia karena berprestasi, cerdas dan santun. Meskipun dijegal, didzalimi dan difitnah oleh Rezim tapi beliau tetap tersenyum, hatinya lapang dan mendoakan kebaikan bagi seluruh Rakyat Indonesia tanpa terkecuali termasuk kpd yg mencelakai dan memfitnahnya. Calon presiden yg adil terhadap semua suku, umat beragama, ras dan antar golongan.",1.0
"Skrg pasang ring jantung bs dg BPJS, GRATIS! Berobat ke puskesmas gratis, periksa darah, gigi dll hny menunjukkan KTP",1.0
Adik saya kena kanker usus berobat di bpjs dan dpt kartu KIS ( kartu indonesia sehat ) dr jokowi semua gratis berobat di RSPAD jakarta...semua udah di otak pak jokowi undonesia harus seperti apa...presudent yg dulu ada berantas korupsi tidak nis...anda sendiri tidak bisa krj tapi mencari celah buat kepentingan anda niss tobatlah ambisi mu akan menghancurkan indonesia krn 5 thn anda ongkang2 kaki bae nis..,0.0
"Bpk anis tidak punya BPJS ya? Saya pakai BPJS gratis, orang tua saya sakit kanker dari obat kemo hingga operasi ditanggung BPJS, shgga sy tidak banyak mengeluarkan biaya di rumah sakit.",0.0
Anis di DKI gratis semua kok selama jadi gubernur. Percaya??? Kalau nggak percaya kamu pasti waras.,0.0
Halah dia jadi gubernur dki 5 thn cuma bisa bangun puskesmas sebiji doang....kok bisa2nya ngoceh kyk gitu..😏👎,0.0
"Klau hanya sekedar narasi anak TK pun bisa. Cb pendukungnya tanya kongkritnya spt apa dia membereskan?? Jgn fanatik buta, jgn hanya sekedar tepuk tangan. Negara maju krn sebagian besar logika rakyat nya berfungsi dgn baik.",0.0
"ANIES PRESIDEN 🇮🇩 KLIK TOMBOL 👉⁣
⁣
Dunia internasional menobatkan Anies Baswedan sbg salah satu daftar 100 TOKOH INTELEKTUAL DUNIA. Daftar ini diterbitkan majalah Foreign Policy terbitan Carnegie Endowment for International Peace yang berpusat di Washington, AS.
Dunia internasional juga menobatkan Anies Baswedan sbg salah satu dari 20 TOKOH YANG MEMBAWA PERUBAHAN DUNIA. Namanya bertengger dg 19 tokoh dunia lain diantaranya Perdana Menteri Rusia Vladimir Putin, Presiden Venezuela Hugo Chavez, Menlu Inggris David Miliband, anggota Parlemen dan Sekjen Indian National Congress India Rahul Gandhi, serta politisi muda Partai Republik dan anggota House of Representative AS, Paul Ryan. Daftar ini diterbitkan majalah Foresight di Jepang.
Biar saya tidak dibilang hoax silahkan klik google. Trmksh ✍️",1.0
"Ngadi ngadi... Saya sebagai tenaga kesehatan tahu persis... semua ditanggung bpjs dan pasien sama sekali tidak membayar sepeser pun... kami ini tenaga kesehatan yang justru kerja tapi dihutangi oleh bpjs... 1. Bpjs sebisa mungkin bilang penyakit pasien tidak ditanggung... 2. Bpjs kalo mengakui harus bayar, dibawah yang sudah dipakai dan dibutuhkan pasien.... 3. Bpjs hanya bayar tiap 6 bulan.... 4. Tenaga kesehatan hanya dibayar kalo bpjs bayar, kalo ga dibayar, ya tenaga kesehatan ga dibayar... 5. Kalo sampai claim lebih tinggi dari pembayaran bpjs, maka selisih dipotong dari gaji tenaga kesehatan yang sudah minus... 6. Selang beberapa tahun, bpjs bisa meminta kembali uang yang sudah dibayar beserta denda, alasan, error code... 7. Tenaga kesehatan hanya dibayar sangat amat minimal per pasien. Dokter spesialis hanya 20 rb/pasien, dokter umum hanya 10rb/pasien, bidan+perawat, 1rb/pasien... jadi jangan ngadi ngadi ya... yang kasian tuh tenaga kesehatan, udah dibayar minim, kerja maksimal, dipotong pula kalo pasien butuh banyak...",0.0
"ANIES PRESIDEN 🇮🇩 KLIK TOMBOL 👉⁣
⁣
Dunia internasional menobatkan Anies Baswedan sbg salah satu daftar 100 TOKOH INTELEKTUAL DUNIA.
Dunia internasional juga menobatkan Anies Baswedan sbg salah satu dari 20 TOKOH YANG MEMBAWA PERUBAHAN DUNIA. Namanya bertengger dg 19 tokoh dunia lain diantaranya Perdana Menteri Rusia Vladimir Putin, Presiden Venezuela Hugo Chavez, Menlu Inggris David Miliband.
Biar saya tidak dibilang hoax silahkan klik google. Trmksh ✍️",1.0
"Nies, tetangga gw itu sakit kanker otak dr awal pmeriksaan, operasi dan perawatan ditanggung BPJS. Bayangkan jika tidak ada BPJS, biayanya smp ratusan juta. Keponakan saya operasi cesar dibiayai BPJS. Janganlah menebar kebohongan hanya karena sahwat ingin jd presiden.",0.0
"Nga pakai muter2, Ganjar next presiden. Pasti klik 👉👉❤️",1.0
"Kan sudah ada BPJS, di daerah saya gak ada lagi cerita orang gak bisa berobat karena semua punya bpjs..",1.0
Negara yg penduduk nya TDK pernah baca data akan terpengaruh dg ucapanya,0.0
"Ini orang tinggal dimana ya ? Sejak kapan sakit gak bisa berobat ? Orang tdk mampu ditanggung BPJS kok jelas2...jualan agama aja mending ahlinya anda pak, pasti banyak yg percaya (pendukung anda)",0.0
Presiden rumah sehat @aniesbaswedan 😂😂😂😂 udah ada @bpjskesehatan_ri bray! Kenapa nyebutnya masih rumah sakit yaa??,0.0
