Unnamed: 0,comments,label
0,"['over', 'confident', 'nih', 'bocah']",0.0
1,"['entar', 'khianat', 'rakyat', 'tidak', 'apa', 'juga', 'ye']",0.0
2,"['tidak', 'papa', 'ini', 'yang', 'kamu', 'buat', 'jdiin', 'contoh', 'ke', 'anak', 'muda', 'masseh']",0.0
3,"['maaf', 'mas', 'saya', 'tidak', 'dukung']",0.0
4,"['tengil', 'ya']",0.0
5,"['partai', 'saja', 'khianat', 'apalagi', 'rakyat']",0.0
6,"['keluar', 'dari', 'pdi', 'p', 'tanpa', 'pamit', 'bagaimana', 'sama', 'rakyat', 'nanti']",0.0
7,"['pasang', 'via', 'paman', 'nih', 'senggol', 'dong']",0.0
8,"['tadi', 'mau', 'all', 'ini', 'prabowo', 'tapi', 'gara', 'tarik', 'ini', 'bocah', 'tidak', 'jadi', 'deh']",0.0
9,"['mereka', 'budak', 'jabat']",0.0
10,"['kalo', 'dapat', 'saya', 'benar', 'jangan', 'mau', 'maju', 'jadi', 'calon wakil presiden', 'langsung', 'maju', 'jadi', 'ketua', 'pbb', 'juga', 'tidak', 'masalah', 'cuma', 'jangan', 'rubah', 'konstitusi', 'demi', 'sampeyan', 'saja', 'tho', 'mas', 'mas']",0.0
11,"['contoh', 'ajar', 'pimpin', 'bangsa', 'dengan', 'cara', 'khianat']",0.0
12,"['partai', 'saja', 'di', 'khianatin', 'apalagi', 'ah', 'sudah']",0.0
13,"['tidak', 'malu', 'apa', 'ya']",0.0
14,"['tidak', 'tahu', 'malu', 'begini', 'kalo', 'calon wakil presiden', 'jalur', 'paman']",0.0
15,"['benar', 'bapak', 'ganjar', 'orang', 'rakyat', 'jadi', 'alangkah', 'baik', 'bapak', 'ganjar', 'jadi', 'rakyat', 'saja']",1.0
16,"['saya', 'tetap', 'dukung', 'prabowo', 'presiden', 'sama', 'gibran', 'yakin', 'bawa', 'indonesia', 'maju']",1.0
17,"['anakmuda', 'yang', 'sudah', 'contoh', 'sikap', 'yang', 'buruk', 'khianat', 'pada', 'partai', 'yang', 'sudah', 'sar', 'demi', 'ambisi', 'kuasa']",0.0
18,"['ya', 'allah', 'jadi', 'pak', 'mahmud', 'md', 'jadi', 'wakil', 'presiden', 'ri']",1.0
19,"['gilir', 'masih', 'di', 'partai', 'pdip', 'katai', 'keluar', 'dari', 'partai', 'juga', 'katai', 'dasar', 'mulut', 'netizen']",1.0
20,"['jadi', 'calon wakil presiden', 'dengan', 'jalur', 'legal', 'diri', 'lewat', 'maka', 'karena', 'ada', 'om', 'di', 'sana']",0.0
21,"['harus', 'selesai', 'dulu', 'dengan', 'pdip', 'kalo', 'cara', 'sudah', 'tidak', 'benar', 'dengan', 'mahkamah', 'keluarga', 'wong', 'nandur', 'bakal', 'ngunduh', 'bismillah', 'ganjar', 'mahfud', 'putar']",0.0
22,"['ayo', 'pol', 'ganjar', 'mahfud']",1.0
23,"['jangan', 'mau', 'percaya', 'sama', 'pdip', 'mereka', 'main', 'dua', 'kaki', 'kita', 'rakyat', 'dikibulin', 'padahal', 'itu', 'semua', 'sudah', 'rencana']",0.0
24,"['kepada', 'yang', 'hormat', 'dukung', 'prabowo', 'spil', 'dong', 'prestasi', 'beliau', 'apa', 'saja', 'jangan', 'cuma', 'all', 'ini', 'all', 'ini', 'kami', 'bosan', 'baca', 'serius', 'seperti', 'orang', 'yang', 'tak', 'punya', 'arah', 'tuju']",0.0
25,"['pdip', 'tolak', 'minta', 'periode', 'ayah', 'tapi', 'terus', 'sama', 'anak', 'memang', 'benar', 'mau', 'panjang', 'kuasa', 'jalur', 'baru', 'jalur', 'dinasti']",0.0
26,"['ganjar', 'mahfud', 'md', 'pilih', 'tepat', 'untuk', 'nkri', 'pdip', 'tetap', 'di', 'hati']",1.0
27,"['dari', 'jual', 'martabak', 'jadi', 'wali', 'kota', 'baru', 'tahun', 'sekarang', 'jadi', 'calon wakil presiden', 'mudah', 'dan', 'cepat', 'itu', 'untuk', 'urus', 'negara', 'sementara', 'yang', 'lain', 'harus', 'juang', 'dan', 'korban', 'hingga', 'tahun', 'tahun', 'untuk', 'abdi', 'pada', 'negara', 'akal', 'sehat', 'telah', 'mati', 'kalah', 'oleh', 'nafsu', 'dan', 'ambisi']",0.0
28,"['tiap', 'hari', 'pak', 'lurah', 'bicara', 'etika', 'tapi', 'nyata', 'bibir', 'tak', 'tulang']",0.0
29,"['khianat', 'pada', 'pdip', 'khianat', 'pada', 'konstitusi', 'khianat', 'pada', 'rakyat']",0.0
30,"['benar', 'tidak', 'masalah', 'kalo', 'gibran', 'jadi', 'calon wakil presiden', 'hanya', 'yang', 'salah', 'proses', 'buat', 'jadi', 'calon presiden', 'itu', 'kes', 'licik', 'jadi', 'ketika', 'nanti', 'pasang', 'ini', 'kelak', 'menang', 'akan', 'kah', 'atur', 'politik', 'nanti', 'akan', 'rusak', 'lihat', 'yang', 'jadi', 'sekarang', 'sudah', 'seperti', 'itu', 'tindak', 'wenang', 'wenang', 'tanpa', 'pikir', 'dampak', 'dan', 'hanya', 'bisa', 'laku', 'oleh', 'elite', 'para', 'elite']",0.0
31,"['jangan', 'sampai', 'generasi', 'muda', 'ikut', 'dengan', 'cara', 'instan']",0.0
32,"['siapa', 'saya', 'saya', 'anak', 'presiden', 'paman', 'ketua', 'maka', 'dan', 'adik', 'tum', 'parpol', 'tenang', 'gampang', 'di', 'atur', 'semua']",0.0
33,"['khianat', 'pdip', 'tidak', 'apa', 'apa', 'menghianati', 'konstitusi', 'tidak', 'apa', 'apa', 'juga']",0.0
34,"['sudah', 'tidak apa', 'saja', 'bisa', 'jadi', 'besok', 'rakyat', 'yang', 'dihianatin', 'sama', 'dia']",0.0
35,"['clear', 'keluarga', 'pulang', 'ke', 'solo', 'lebih', 'cepat']",0.0
36,"['lihat', 'kok', 'kalo', 'gila', 'jabat', 'lewat', 'anak', 'nya', 'belakang']",0.0
37,"['sudah', 'tidak', 'respek', 'mentang', 'anak', 'presiden']",0.0
38,"['tahun', 'kok', 'alam', 'tahun', 'nyicil', 'motor', 'saja', 'belum', 'lunas']",0.0
39,"['salah', 'ya', 'tetap', 'salah', 'masse', 'mau', 'permak', 'dengan', 'bahasa', 'gimanapun', 'bagi', 'orang', 'waras', 'tetap', 'tidak', 'etika', 'indonesia', 'ini', 'etika', 'masih', 'jadi', 'no']",0.0
40,"['memang', 'saya', 'pikirin', 'juga', 'kamu', 'wkwk', 'kasihan', 'deh', 'kamu', 'masih', 'tahun', 'sudah', 'tidak', 'taat', 'hukum', 'nepotisme', 'aji', 'mumpung', 'bapak', 'presiden', 'bagaimana', 'jadi', 'wapres', 'entar', 'hancur', 'negeri', 'ini', 'pimpin', 'sama', 'orang', 'model', 'begini']",0.0
41,"['pada', 'mau', 'ya', 'punya', 'wakil', 'presiden', 'tidak', 'tegas', 'mencla', 'mencle', 'tak', 'etika', 'bagaimana', 'kalau', 'dia', 'harus', 'ganti', 'presiden', 'yang', 'halang', 'tugas', 'bisa', 'langsung', 'di', 'caplok', 'asing', 'negeri', 'ini']",0.0
42,"['fakta', 'peristiwa', 'prabowo', 'kali', 'rupa', 'lawan', 'politik', 'jokowi', 'dalam', 'pilpres', 'sekarang', 'cawapresnya', 'prabowo', 'adalah', 'anak', 'sulung', 'jokowi', 'mahfud', 'pernah', 'masuk', 'jadi', 'tim', 'menang', 'presiden', 'prabowo', 'sekarang', 'jadi', 'cawapresnya', 'ganjar', 'dengan', 'lawan', 'politik', 'prabowo', 'anies', 'pernah', 'satu', 'kubu', 'dengan', 'jokowi', 'dan', 'pernah', 'juga', 'satu', 'kubu', 'dengan', 'prabowo', 'sekarang', 'jadi', 'lawan', 'politik', 'dari', 'dua', 'sandiaga', 'uno', 'di', 'pilpres', 'akhir', 'jadi', 'cawapresnya', 'prabowo', 'dan', 'lawan', 'politik', 'adalah', 'jokowi', 'yang', 'dukung', 'kubu', 'pdip', 'sekarang', 'sandiaga', 'uno', 'pihak', 'kubu', 'pdip', 'yang', 'lawan', 'politik', 'adalah', 'prabowo', 'putra', 'sulung', 'jokowi', 'pesan', 'moral', 'dalam', 'politik', 'tak', 'ada', 'kawan', 'dan', 'lawan', 'abadi', '', 'yang', 'abadi', 'adalah', 'penting', 'everything', 'is', 'just', 'game', 'karena', 'itu', 'enjoy', 'saja', 'jangan', 'musuh', 'kawan', 'dan', 'kerabat', 'yang', 'beda', 'pilih', 'capresnya', 'para', 'elit', 'politik', 'itu', 'bisa', 'gonta', 'ganti', 'pasang', 'politik', 'mereka', 'yang', 'tadi', 'musuh', 'bisa', 'jadi', 'kawan', 'atau', 'balik', 'sementara', 'kalian', 'sudah', 'lanjur', 'putus', 'sahabat', 'bahkan', 'saudara', 'demi', 'junjung', 'politis', 'kalian', 'yang', 'besok', 'habis', 'pilpres', 'sudah', 'kongkow', 'bareng', 'di', 'balik', 'panggung', 'mereka', 'dapat', 'kuasa', 'kalian', 'hilang', 'sahabat', 'ingat', 'kalau', 'hidup', 'susah', 'yang', 'tolong', 'mu', 'itu', 'bukan', 'para', 'elit', 'politik', 'atas', 'sana', 'tetapi', 'kawan', 'tetangga', 'dan', 'saudara', '', 'moga', 'manfaat', 'salam', 'sehat', 'jadi', 'baik', 'kita', 'warga', 'negara', 'biasa', 'hayo', 'biasa', 'saja', 'santai', 'saja', 'tetap', 'jalin', 'sahabat', 'dan', 'saudara', 'dengan', 'tetangga', 'kawan', 'sahabat', 'apalagi', 'saudara', 'kita', '', 'pilih', 'boleh', 'beda', 'tapi', 'jangan', 'korban', 'sahabat', 'dan', 'saudara', 'kita', 'salam', 'silaturahim', 'salam', 'sehat', 'tetap', 'jaga', 'saudara', 'sahabat', 'salam', 'waras']",1.0
43,"['tombol', 'prabowo', 'gibran', 'menang']",1.0
44,"['sudah', 'biasa', 'khianat']",0.0
45,"['gibran', 'muka', 'kok', 'ploga', 'plongo', 'kyok', 'bapak']",0.0
46,"['gue', 'tidak', 'peduli', 'soal', 'dia', 'khianat', 'banteng', 'atau', 'apa', 'cara', 'dia', 'maju', 'pakai', 'ngakalin', 'konstitusi', 'itu', 'yang', 'masalah']",0.0
47,"['mas', 'sudah', 'ngakalin', 'atur', 'lewat', 'mahkamah', 'keluarga', 'ini', 'khianat', 'pun', 'tanpa', 'malu']",0.0
48,"['anti', 'keluarga', 'pak', 'lurah']",0.0
49,"['jangan', 'pilih', 'calon', 'pimpin', 'yang', 'lahir', 'dari', 'khianat', 'konstitusi', 'gibran rakabuming', 'jokowi', 'prabowo']",0.0
50,"['sudah', 'lihat', 'banget', 'tidak', 'profesional', 'dan', 'tidak', 'hormat', 'deh', 'lah', 'buka', 'mata', 'pakai', 'otak', 'rakyat', 'sudah', 'pintar']",0.0
51,"['ribet', 'ribut', 'amat', 'orang', 'sekarang', 'ribut', 'apa', 'juga', 'dunia', 'politikus', 'dari', 'dulu', 'sampai', 'sekarang', 'ya', 'sama', 'saja', 'biar', 'siapa', 'yang', 'pilih', 'lagi', 'pula', 'kalian', 'tetap', 'kerja', 'keras', 'untuk', 'hidup', 'istri', 'dan', 'anak', 'serah', 'mereka', 'yang', 'pilih', 'mau', 'indonesia', 'ini', 'di', 'jadi', 'negara', 'yang', 'seperti', 'apa', 'kulo', 'manut', 'mawon']",1.0
52,"['pasang', 'penuh', 'beban']",0.0
53,"['sumpah', 'omong', 'orang', 'bikin', 'sakit', 'hati', 'banget', 'attitude', 'nya', 'besar']",1.0
54,"['saat', 'yang', 'muda', 'karya']",1.0
55,"['khianat', 'reformasi', 'juga']",0.0
56,"['karena', 'paman', 'makin', 'yakin', 'pilih', 'anies', 'muhaimin', 'amin', 'aminajadulu']",1.0
57,"['prabowo', 'gibran']",1.0
59,"['cinta', 'pak', 'prabowo', 'dan', 'mas', 'gibran', 'sudah', 'benar', 'sama', 'pak', 'prabowo', 'tidak', 'bagus', 'juga', 'partai', 'kuasa', 'terlalu', 'lama', 'nanti', 'bukan', 'jadi', 'penting', 'rakyat', 'tapi', 'malah', 'penting', 'partai', 'syemangat']",1.0
60,"['mau', 'siapa', 'yang', 'jadi', 'presiden', 'hidup', 'makin', 'susah', 'kok', 'byknya', 'atur', 'yang', 'bikin', 'rakyat', 'tambah', 'susah', 'memang', 'ada', 'pikir', 'mereka']",0.0
61,"['plot', 'twist', 'dalam', 'negeri', 'dongeng', 'ini', 'adalah', 'what', 'if', 'jelang', 'pilpres', 'bu', 'mega', 'sengaja', 'buat', 'skema', 'olah', 'olah', 'keluarga', 'presiden', 'di', 'musuh', 'partainga', 'agar', 'masyarakat', 'empati', 'dan', 'dukung', 'keluarga', 'presiden', 'untuk', 'menang', 'di', 'bagai', 'bukti', 'bahwa', 'tanpa', 'banteng', 'mereka', 'bisa', 'telah', 'menang', 'sang', 'banteng', 'pun', 'damai', 'dan', 'kembali', 'kuasa']",1.0
62,"['pdip', 'lanjut', 'dulu']",0.0
63,"['lepas', 'dulu', 'tawak', 'mu', 'biar', 'rakyat', 'tahu', 'wajah', 'asli', 'mu']",0.0
64,"['kepada', 'yang', 'hormat', 'dukung', 'prabowo', 'spil', 'dong', 'prestasi', 'beliau', 'apa', 'saja', 'jangan', 'cuma', 'all', 'ini', 'all', 'ini', 'kami', 'bosan', 'baca', 'tidak', 'kreatif', 'sama', 'sekali']",0.0
65,"['enteng', 'banget', 'ya', 'jawab', 'wkwk', 'besok', 'kalo', 'tanya', 'wartawan', 'lihat', 'rakyat', 'susah', 'ya', 'tidak apa']",0.0
66,"['sangat', 'sesal', 'langkah', 'mas', 'coba', 'kalo', 'sabar', 'dan', 'kbh', 'elegent', 'semua', 'jadi', 'enak', 'akhir', 'kalo', 'sekarang', 'terima', 'resiko', 'nya', 'saja', 'jujur', 'saya', 'sayang', 'saja', 'ambil', 'langkah', 'demikian', 'tapi', 'saya', 'percaya', 'mungkin', 'sudah', 'surat', 'harus', 'begini', 'jadi']",0.0
67,"['ahli', 'buat', 'martabak']",1.0
68,"['etika', 'mu', 'ndi', 'boleh']",0.0
69,"['oh', 'ponakan', 'sayang', 'paman']",0.0
70,['antipdip'],0.0
71,"['karma', 'will', 'take', 'over']",0.0
72,"['all', 'ini', 'prabowo']",1.0
73,"['pak', 'jokowi', 'you', 'are', 'the', 'best', 'presiden', 'gara', 'gara', 'pak', 'jokowi', 'saya', 'bisa', 'dari', 'stabat', 'ke', 'tebing', 'lewat', 'toll', 'pak']",1.0
